Q 	 npt 	 chi2 	 N 	 alpha 	 c 	 dN 	 dalpha 	 dc
7.5 	 11 	 0.31 	 1.311E+00 	 1.895E+00 	 2.778E-01 	 1.860E-01 	 8.261E-01 	 1.847E-01 
8.5 	 14 	 0.42 	 1.220E+00 	 1.815E+00 	 2.899E-01 	 4.246E-02 	 2.180E-01 	 4.263E-02 
11.0 	 16 	 0.27 	 1.170E+00 	 1.608E+00 	 3.152E-01 	 2.961E-02 	 1.196E-01 	 2.528E-02 
12.5 	 18 	 0.28 	 1.178E+00 	 1.654E+00 	 3.105E-01 	 2.700E-02 	 8.859E-02 	 1.745E-02 
15.8 	 15 	 0.64 	 1.173E+00 	 1.542E+00 	 3.033E-01 	 4.058E-02 	 1.647E-01 	 3.555E-02 
