Q 	 npt 	 chi2 	 N 	 alpha 	 c 	 dN 	 dalpha 	 dc
7.5 	 11 	 0.79 	 1.000E+00 	 1.000E+01 	 1.894E-03 	 0.000E+00 	 7.027E+00 	 6.520E-04 
8.5 	 14 	 2.98 	 1.000E+00 	 1.000E+01 	 9.280E-03 	 0.000E+00 	 8.534E+00 	 1.543E-03 
11.0 	 16 	 2.33 	 1.000E+00 	 1.972E+00 	 2.816E-01 	 0.000E+00 	 1.556E-01 	 2.259E-02 
12.5 	 18 	 2.55 	 1.000E+00 	 1.837E+00 	 3.152E-01 	 0.000E+00 	 1.172E-01 	 2.043E-02 
15.8 	 15 	 1.92 	 1.000E+00 	 1.963E+00 	 2.536E-01 	 0.000E+00 	 2.000E-01 	 2.774E-02 
