Q	QT	npt	chi2	N	alpha	c	dN	dalpha	dc
7.5	0.8	4	0.72	1.71E+00	1.22E+01	2.39E-01	1.3E+00	2.4E+02	6.1E+00
7.5	1.0	5	0.74	9.20E-01	3.60E+01	8.08E-12	1.7E-01	1.8E+01	1.9E-10
7.5	1.2	6	0.54	9.79E-01	3.83E+01	2.66E-11	1.3E-01	3.9E+01	1.2E-08
7.5	1.4	7	0.41	9.71E-01	3.80E+01	2.23E-11	7.0E-02	3.7E+01	3.1E-09
7.5	1.5	8	0.34	1.24E+00	2.25E+00	2.07E-01	6.0E-01	2.9E+00	4.9E-01
7.5	1.7	9	0.29	1.30E+00	1.99E+00	2.62E-01	4.3E-01	1.9E+00	3.9E-01
7.5	1.9	10	0.26	1.18E+00	2.75E+00	1.40E-01	2.3E-01	2.4E+00	2.3E-01
7.5	2.1	11	0.31	1.31E+00	1.90E+00	2.78E-01	1.8E-01	8.3E-01	1.8E-01
8.5	0.8	4	1.52	2.00E+00	4.71E+01	5.72E+03	1.5E+00	1.5E+02	2.2E+05
8.5	1.0	5	1.44	9.31E-01	2.17E+01	1.15E-06	1.3E-01	2.9E+00	1.9E-06
8.5	1.2	6	0.97	9.08E-01	3.78E+01	3.93E-11	1.0E-01	3.9E+01	6.7E-09
8.5	1.4	7	0.73	9.19E-01	2.73E+01	3.25E-08	1.4E+00	1.0E+00	4.2E-01
8.5	1.5	8	0.58	9.32E-01	1.28E+01	2.09E-04	5.7E-02	1.4E+01	1.1E-02
8.5	1.7	9	0.49	9.74E-01	5.47E+00	2.01E-02	1.4E-01	6.3E+00	1.6E-01
8.5	1.9	10	0.51	1.17E+00	2.10E+00	2.32E-01	1.7E-01	1.0E+00	1.9E-01
8.5	2.1	11	0.45	1.21E+00	1.91E+00	2.72E-01	1.1E-01	5.7E-01	1.2E-01
8.5	2.3	12	0.42	1.18E+00	2.07E+00	2.40E-01	6.4E-02	4.4E-01	7.2E-02
8.5	2.5	13	0.40	1.20E+00	1.93E+00	2.67E-01	4.8E-02	2.9E-01	5.1E-02
8.5	2.7	14	0.42	1.22E+00	1.81E+00	2.90E-01	4.2E-02	2.2E-01	4.3E-02
11.0	0.8	4	0.35	1.01E+00	6.23E+00	2.07E-02	4.2E-01	8.8E-01	1.3E-03
11.0	1.0	5	0.23	8.38E-01	2.59E+01	1.20E-08	1.6E-01	2.7E+01	3.4E-06
11.0	1.2	6	0.16	8.15E-01	3.22E+01	6.45E-11	7.4E-02	3.3E+01	1.5E-08
11.0	1.4	7	0.15	9.63E-01	3.08E+00	8.55E-02	4.8E-01	3.9E+00	5.9E-01
11.0	1.5	8	0.12	1.11E+00	1.96E+00	2.40E-01	4.4E-01	2.0E+00	4.2E-01
11.0	1.7	9	0.11	1.00E+00	2.70E+00	1.23E-01	2.1E-01	2.4E+00	2.2E-01
11.0	1.9	10	0.23	1.18E+00	1.65E+00	3.14E-01	1.5E-01	5.6E-01	1.6E-01
11.0	2.1	11	0.23	1.12E+00	1.91E+00	2.47E-01	7.4E-02	4.6E-01	8.7E-02
11.0	2.3	12	0.21	1.12E+00	1.86E+00	2.58E-01	4.8E-02	3.0E-01	5.3E-02
11.0	2.5	13	0.31	1.16E+00	1.68E+00	2.99E-01	4.0E-02	2.0E-01	4.2E-02
11.0	2.7	14	0.32	1.17E+00	1.61E+00	3.15E-01	3.5E-02	1.6E-01	3.6E-02
11.0	2.9	15	0.29	1.17E+00	1.61E+00	3.15E-01	3.1E-02	1.3E-01	2.9E-02
11.0	3.1	16	0.27	1.17E+00	1.61E+00	3.15E-01	3.0E-02	1.2E-01	2.5E-02
12.5	0.8	4	2.35	1.07E+00	1.92E+01	1.51E-04	6.4E-01	3.5E+01	1.8E-02
12.5	1.0	5	1.26	8.81E-01	3.03E+01	3.31E-09	1.9E-01	3.1E+01	8.5E-07
12.5	1.2	6	0.87	8.37E-01	3.92E+01	1.52E-12	1.4E+00	1.0E+00	3.5E+02
12.5	1.4	7	0.65	8.43E-01	2.21E+01	1.53E-07	4.9E-02	2.0E+01	8.9E-06
12.5	1.5	8	0.56	1.06E+00	2.33E+00	1.75E-01	3.9E-01	2.6E+00	3.7E-01
12.5	1.7	9	0.47	1.11E+00	2.03E+00	2.29E-01	2.5E-01	1.4E+00	2.7E-01
