Q	QT	npt	chi2	N	alpha	c	dN	dalpha	dc
6.5	5.0	56	0.50	1.20E+00	1.83E+00	2.03E-01	2.7E-02	3.8E-02	8.4E-03
7.5	0.3	6	0.53	8.10E-01	4.10E+00	1.11E-02	1.1E+00	5.0E+00	2.2E-01
7.5	0.6	9	0.32	8.98E-01	4.44E+00	1.31E-02	5.4E-01	5.3E+00	2.2E-01
7.5	0.8	12	0.23	8.79E-01	4.36E+00	1.26E-02	3.2E-01	5.2E+00	2.0E-01
7.5	1.0	15	0.17	9.08E-01	3.68E+00	2.55E-02	3.3E-01	4.5E+00	2.7E-01
7.5	1.2	18	0.14	1.17E+00	1.71E+00	2.27E-01	7.6E-01	2.1E+00	5.1E-01
7.5	1.4	21	0.16	1.05E+00	2.20E+00	1.28E-01	3.4E-01	2.2E+00	2.8E-01
7.5	1.5	24	0.19	1.00E+00	2.63E+00	8.16E-02	1.5E-01	1.8E+00	1.4E-01
7.5	1.7	27	0.27	1.13E+00	1.72E+00	2.11E-01	9.8E-02	4.7E-01	1.0E-01
7.5	1.9	30	0.34	1.14E+00	1.69E+00	2.19E-01	6.0E-02	3.0E-01	6.2E-02
7.5	2.1	33	0.38	1.18E+00	1.54E+00	2.56E-01	4.9E-02	2.1E-01	5.0E-02
7.5	2.3	36	0.39	1.18E+00	1.54E+00	2.56E-01	3.8E-02	1.6E-01	3.7E-02
7.5	2.5	38	0.39	1.18E+00	1.54E+00	2.55E-01	3.3E-02	1.4E-01	2.9E-02
7.5	2.7	39	0.38	1.17E+00	1.57E+00	2.50E-01	3.0E-02	1.2E-01	2.3E-02
7.5	2.9	41	0.47	1.16E+00	1.66E+00	2.32E-01	2.8E-02	9.3E-02	1.6E-02
7.5	3.1	44	0.46	1.15E+00	1.70E+00	2.26E-01	2.7E-02	7.6E-02	1.2E-02
7.5	3.3	45	0.54	1.14E+00	1.80E+00	2.13E-01	2.7E-02	5.8E-02	1.0E-02
7.5	3.5	46	0.56	1.15E+00	1.78E+00	2.15E-01	2.7E-02	5.6E-02	1.0E-02
7.5	3.7	47	0.58	1.15E+00	1.76E+00	2.16E-01	2.7E-02	5.5E-02	1.0E-02
7.5	3.9	48	0.57	1.15E+00	1.76E+00	2.16E-01	2.7E-02	5.2E-02	9.9E-03
7.5	4.1	50	0.60	1.14E+00	1.79E+00	2.14E-01	2.7E-02	4.6E-02	9.8E-03
7.5	4.3	51	0.60	1.14E+00	1.80E+00	2.14E-01	2.7E-02	4.3E-02	9.8E-03
7.5	4.6	53	0.59	1.14E+00	1.80E+00	2.14E-01	2.7E-02	4.3E-02	9.8E-03
7.5	4.8	54	0.59	1.14E+00	1.80E+00	2.14E-01	2.7E-02	4.2E-02	9.8E-03
8.5	0.3	6	0.25	5.30E-01	2.62E+00	1.65E-02	2.3E-01	1.6E+00	4.3E-02
8.5	0.6	9	0.18	7.67E-01	2.82E+00	3.93E-02	2.4E-01	1.4E+00	4.5E-02
8.5	0.8	12	0.18	2.00E+00	8.55E-01	8.56E-01	1.2E+00	2.5E-01	9.2E-02
8.5	1.0	15	0.24	7.39E-01	1.34E+01	2.44E-06	8.0E-02	1.4E+01	2.5E-04
8.5	1.2	18	0.30	1.39E+00	1.13E+00	4.93E-01	1.6E+00	1.2E+00	7.7E-01
8.5	1.4	21	0.28	1.59E+00	9.59E-01	6.41E-01	1.6E+00	7.0E-01	6.5E-01
8.5	1.5	24	0.37	1.09E+00	1.75E+00	2.28E-01	2.8E-01	1.2E+00	2.8E-01
8.5	1.7	27	0.39	1.02E+00	2.14E+00	1.53E-01	1.3E-01	1.0E+00	1.4E-01
8.5	1.9	30	0.59	9.67E-01	2.68E+00	9.28E-02	5.7E-02	8.4E-01	6.1E-02
8.5	2.1	33	0.68	1.04E+00	1.90E+00	1.82E-01	4.1E-02	2.8E-01	4.2E-02
8.5	2.3	35	0.72	1.06E+00	1.76E+00	2.06E-01	3.4E-02	1.9E-01	3.2E-02
8.5	2.5	37	0.71	1.06E+00	1.74E+00	2.10E-01	3.1E-02	1.4E-01	2.3E-02
8.5	2.7	38	0.72	1.07E+00	1.67E+00	2.22E-01	3.0E-02	1.2E-01	2.1E-02
8.5	2.9	40	0.69	1.07E+00	1.68E+00	2.21E-01	2.9E-02	1.0E-01	1.7E-02
8.5	3.1	42	0.68	1.06E+00	1.71E+00	2.16E-01	2.8E-02	8.4E-02	1.4E-02
8.5	3.3	43	0.66	1.06E+00	1.71E+00	2.16E-01	2.8E-02	7.6E-02	1.3E-02
8.5	3.5	44	0.70	1.06E+00	1.78E+00	2.08E-01	2.8E-02	6.2E-02	1.1E-02
8.5	3.7	45	0.70	1.06E+00	1.76E+00	2.09E-01	2.8E-02	6.0E-02	1.1E-02
8.5	4.8	46	0.68	1.06E+00	1.76E+00	2.09E-01	2.8E-02	5.9E-02	1.1E-02
9.5	0.3	6	3.06	1.98E+00	5.19E-01	9.27E-01	1.3E+00	2.2E-01	6.3E-01
9.5	0.6	9	2.12	2.00E+00	2.86E+01	1.34E-02	1.4E+00	1.3E+02	7.8E-01
9.5	0.8	12	1.95	1.11E+00	2.04E+01	1.30E-07	4.2E-01	2.1E+01	1.4E-05
9.5	1.0	15	1.56	1.46E+00	2.88E+01	1.61E-06	5.6E-01	3.0E+01	2.0E-04
9.5	1.2	18	1.73	1.07E+00	3.42E+01	1.15E-12	8.9E-02	1.2E+01	1.5E-10
9.5	1.4	21	1.55	1.16E+00	2.57E+01	1.13E-08	1.1E+00	1.0E+00	7.5E+01
9.5	1.5	24	1.64	1.13E+00	3.73E+01	1.02E-12	4.5E-02	3.1E+01	6.9E-09
9.5	1.7	26	1.56	1.49E+00	1.85E+00	2.28E-01	2.5E-01	9.3E-01	2.0E-01
9.5	1.9	29	1.56	1.34E+00	2.67E+00	1.07E-01	1.1E-01	1.1E+00	9.3E-02
9.5	2.1	32	1.56	1.49E+00	1.74E+00	2.42E-01	9.0E-02	3.6E-01	7.5E-02
9.5	2.3	35	1.49	1.52E+00	1.67E+00	2.61E-01	6.8E-02	2.5E-01	5.4E-02
9.5	2.5	37	1.47	1.52E+00	1.65E+00	2.65E-01	5.5E-02	1.9E-01	4.0E-02
9.5	2.7	38	1.46	1.54E+00	1.55E+00	2.88E-01	5.2E-02	1.6E-01	3.7E-02
9.5	2.9	39	1.43	1.55E+00	1.52E+00	2.98E-01	4.9E-02	1.4E-01	3.3E-02
9.5	3.1	41	1.36	1.54E+00	1.56E+00	2.87E-01	4.5E-02	1.2E-01	2.5E-02
9.5	3.3	42	1.33	1.54E+00	1.56E+00	2.87E-01	4.3E-02	1.0E-01	2.2E-02
9.5	3.5	43	1.29	1.54E+00	1.56E+00	2.86E-01	4.3E-02	9.5E-02	2.0E-02
9.5	3.7	44	1.27	1.54E+00	1.58E+00	2.83E-01	4.2E-02	8.6E-02	1.8E-02
9.5	3.9	45	1.25	1.54E+00	1.61E+00	2.77E-01	4.2E-02	7.8E-02	1.6E-02
9.5	4.1	46	1.22	1.54E+00	1.61E+00	2.78E-01	4.2E-02	7.4E-02	1.6E-02
9.5	4.3	47	1.22	1.53E+00	1.64E+00	2.73E-01	4.2E-02	6.8E-02	1.5E-02
9.5	4.6	48	1.20	1.53E+00	1.63E+00	2.74E-01	4.2E-02	6.6E-02	1.5E-02
10.5	0.3	6	0.42	2.00E+00	4.04E+01	8.17E-02	1.4E+00	8.4E+02	5.1E+00
10.5	0.6	9	0.24	8.04E-01	6.83E+00	4.94E-04	3.9E-01	3.4E+00	1.7E-03
10.5	0.8	12	0.17	8.18E-01	6.91E+00	5.23E-04	2.2E-01	8.0E+00	3.4E-02
10.5	1.0	15	1.14	2.00E+00	9.65E-01	6.99E-01	1.8E+00	2.5E-01	8.0E-02
10.5	1.2	18	0.97	2.00E+00	1.00E+00	6.88E-01	2.0E+00	1.9E-01	6.0E-02
10.5	1.4	21	1.01	9.14E-01	3.26E+01	1.00E-12	1.4E+00	2.4E+00	4.1E-01
10.5	1.5	24	0.95	1.26E+00	1.72E+00	2.25E-01	3.0E-01	1.1E+00	2.6E-01
10.5	1.7	26	0.94	1.42E+00	1.32E+00	3.62E-01	2.6E-01	5.4E-01	2.2E-01
10.5	1.9	29	0.97	1.32E+00	1.56E+00	2.75E-01	1.3E-01	4.6E-01	1.2E-01
10.5	2.1	31	0.96	1.31E+00	1.60E+00	2.63E-01	8.7E-02	3.5E-01	8.2E-02
10.5	2.3	32	0.94	1.35E+00	1.46E+00	3.03E-01	7.8E-02	2.7E-01	7.3E-02
10.5	2.5	33	0.91	1.34E+00	1.49E+00	2.94E-01	6.0E-02	2.2E-01	5.3E-02
10.5	2.7	35	0.86	1.33E+00	1.51E+00	2.89E-01	5.1E-02	1.8E-01	4.1E-02
10.5	2.9	37	0.82	1.34E+00	1.47E+00	3.00E-01	4.8E-02	1.6E-01	3.9E-02
10.5	3.1	38	0.87	1.31E+00	1.65E+00	2.61E-01	4.2E-02	1.3E-01	2.3E-02
10.5	3.3	39	0.86	1.31E+00	1.61E+00	2.67E-01	4.2E-02	1.2E-01	2.3E-02
10.5	3.5	40	0.84	1.32E+00	1.60E+00	2.69E-01	4.1E-02	1.2E-01	2.2E-02
10.5	3.7	41	0.93	1.30E+00	1.75E+00	2.47E-01	4.1E-02	8.9E-02	1.7E-02
10.5	4.1	42	0.91	1.30E+00	1.75E+00	2.47E-01	4.1E-02	8.4E-02	1.7E-02
10.5	4.3	43	0.89	1.30E+00	1.75E+00	2.48E-01	4.1E-02	8.3E-02	1.7E-02
10.5	4.6	44	0.87	1.30E+00	1.75E+00	2.48E-01	4.1E-02	8.1E-02	1.6E-02
11.5	0.3	4	1.68	3.34E-01	1.59E+00	4.49E-02	3.7E-01	2.2E+00	5.6E-01
11.5	0.6	6	1.44	2.00E+00	4.89E-01	1.30E+00	1.8E+00	2.1E-01	1.8E-01
11.5	0.8	8	0.98	2.00E+00	5.76E-01	1.23E+00	1.7E+00	2.0E-01	1.2E-01
11.5	1.0	10	0.79	2.00E+00	5.58E-01	1.24E+00	1.7E+00	1.2E-01	7.4E-02
11.5	1.2	12	0.66	2.00E+00	6.03E-01	1.22E+00	2.0E+00	1.2E-01	6.2E-02
11.5	1.4	14	0.83	1.15E+00	9.57E-01	6.24E-01	1.5E+00	1.3E+00	1.0E+00
11.5	1.5	16	0.73	2.00E+00	5.73E-01	1.23E+00	1.8E+00	7.5E-02	5.6E-02
11.5	1.7	18	0.67	1.09E+00	1.06E+00	5.56E-01	5.0E-01	8.2E-01	5.4E-01
11.5	1.9	19	0.63	9.87E-01	1.25E+00	4.41E-01	2.8E-01	7.6E-01	3.4E-01
11.5	2.1	20	0.62	8.69E-01	1.69E+00	2.85E-01	1.2E-01	7.9E-01	1.8E-01
11.5	2.3	22	0.57	8.46E-01	1.84E+00	2.51E-01	7.2E-02	6.0E-01	1.0E-01
11.5	2.5	23	0.55	8.66E-01	1.69E+00	2.81E-01	5.9E-02	4.1E-01	8.1E-02
11.5	2.7	24	0.53	8.60E-01	1.74E+00	2.72E-01	4.8E-02	3.3E-01	5.9E-02
11.5	2.9	25	0.52	8.71E-01	1.64E+00	2.91E-01	4.6E-02	2.9E-01	5.6E-02
11.5	3.1	26	0.52	8.56E-01	1.79E+00	2.64E-01	3.9E-02	2.2E-01	3.5E-02
11.5	3.3	27	0.50	8.55E-01	1.80E+00	2.63E-01	3.7E-02	1.9E-01	3.0E-02
11.5	3.5	28	0.48	8.56E-01	1.78E+00	2.65E-01	3.7E-02	1.7E-01	2.9E-02
12.5	0.8	4	1.10	2.00E+00	7.61E-01	1.27E+00	1.8E+00	7.7E-01	1.5E-01
12.5	1.0	5	0.55	2.00E+00	7.37E-01	1.27E+00	1.8E+00	3.6E-01	9.1E-02
12.5	1.2	6	0.37	2.00E+00	7.13E-01	1.28E+00	1.9E+00	2.3E-01	9.0E-02
12.5	1.4	7	0.29	6.36E-01	1.83E+01	6.49E-06	9.2E-02	3.8E+01	1.9E-03
12.5	1.5	8	0.24	1.03E+00	1.37E+00	5.11E-01	7.0E-01	1.7E+00	8.0E-01
12.5	1.7	9	0.21	7.06E-01	4.33E+00	4.82E-02	2.7E-01	8.4E+00	7.0E-01
12.5	1.9	10	0.26	6.36E-01	4.37E+01	1.00E-12	3.5E-02	7.2E+00	1.9E-09
12.5	2.1	11	0.50	7.24E-01	2.81E+00	1.12E-01	9.2E-02	1.9E+00	1.5E-01
12.5	2.3	12	0.50	7.67E-01	2.14E+00	1.90E-01	6.6E-02	7.2E-01	1.0E-01
12.5	2.7	13	0.55	8.03E-01	1.76E+00	2.57E-01	6.2E-02	4.3E-01	9.0E-02
12.5	2.9	14	0.50	8.02E-01	1.77E+00	2.55E-01	5.1E-02	3.1E-01	6.3E-02
12.5	3.1	15	0.47	8.07E-01	1.73E+00	2.64E-01	4.8E-02	2.7E-01	5.7E-02
13.5	0.8	4	0.70	1.56E+00	1.65E+01	4.26E+02	1.2E+00	4.8E+05	2.5E+01
13.5	1.0	5	0.73	4.80E-01	3.36E+01	1.36E-12	1.2E+00	1.0E+00	1.9E+02
13.5	1.2	6	0.49	4.97E-01	3.48E+01	2.58E-12	1.0E-01	3.6E+01	7.9E-10
13.5	1.4	7	0.39	5.22E-01	3.65E+01	8.09E-12	7.8E-02	5.2E+01	8.4E-09
13.5	1.5	8	0.31	5.28E-01	3.70E+01	1.10E-11	5.4E-02	5.3E+01	1.1E-08
13.5	1.7	9	0.26	5.24E-01	3.67E+01	8.42E-12	4.1E-02	3.8E+01	5.9E-09
13.5	1.9	10	0.30	6.51E-01	2.08E+00	1.84E-01	1.7E-01	1.9E+00	2.9E-01
13.5	2.3	11	0.29	7.17E-01	1.56E+00	3.04E-01	1.3E-01	7.7E-01	2.2E-01
13.5	2.5	12	0.25	7.12E-01	1.59E+00	2.96E-01	9.5E-02	6.0E-01	1.6E-01
