Q 	 npt 	 chi2 	 N 	 alpha 	 c 	 dN 	 dalpha 	 dc
5.5 	 12 	 5.89 	 1.000E+00 	 2.694E+00 	 2.110E-01 	 0.000E+00 	 4.819E-01 	 3.383E-02 
6.5 	 16 	 12.41 	 1.000E+00 	 2.012E+00 	 2.496E-01 	 0.000E+00 	 2.778E-02 	 1.885E-02 
7.5 	 14 	 14.03 	 1.000E+00 	 2.202E+00 	 2.370E-01 	 0.000E+00 	 1.359E-01 	 1.733E-02 
8.5 	 14 	 10.67 	 1.000E+00 	 2.453E+00 	 2.059E-01 	 0.000E+00 	 1.968E-01 	 1.581E-02 
11.5 	 11 	 1.67 	 1.000E+00 	 2.391E+00 	 1.757E-01 	 0.000E+00 	 4.327E-01 	 3.792E-02 
12.5 	 11 	 1.21 	 1.000E+00 	 2.033E+00 	 1.783E-01 	 0.000E+00 	 3.704E-01 	 5.743E-02 
13.5 	 7 	 1.34 	 1.000E+00 	 8.987E-01 	 6.171E-01 	 0.000E+00 	 2.886E-01 	 1.412E-01 
14.5 	 6 	 0.36 	 1.000E+00 	 2.594E+00 	 1.471E-01 	 0.000E+00 	 2.565E+00 	 1.866E-01 
