Q 	 npt 	 chi2 	 N 	 alpha 	 c 	 dN 	 dalpha 	 dc
5.5 	 12 	 0.90 	 1.417E+00 	 1.862E+00 	 2.124E-01 	 4.762E-02 	 1.031E-01 	 1.428E-02 
6.5 	 16 	 2.42 	 1.326E+00 	 1.986E+00 	 2.233E-01 	 2.395E-02 	 1.658E-02 	 9.944E-03 
7.5 	 14 	 0.63 	 1.398E+00 	 1.725E+00 	 2.395E-01 	 2.670E-02 	 7.373E-02 	 1.231E-02 
8.5 	 14 	 0.60 	 1.362E+00 	 1.836E+00 	 2.220E-01 	 2.806E-02 	 8.618E-02 	 1.159E-02 
11.5 	 11 	 1.18 	 1.139E+00 	 1.805E+00 	 2.304E-01 	 5.627E-02 	 2.868E-01 	 4.180E-02 
12.5 	 11 	 1.34 	 1.034E+00 	 1.908E+00 	 1.979E-01 	 8.033E-02 	 4.425E-01 	 7.801E-02 
13.5 	 7 	 1.23 	 5.947E-01 	 8.621E+00 	 1.000E-03 	 6.744E-02 	 1.154E+00 	 4.891E-02 
14.5 	 6 	 0.36 	 1.280E+01 	 2.416E-01 	 2.894E+00 	 1.462E+02 	 1.019E+00 	 8.274E+00 
