Q 	 npt 	 chi2 	 N 	 alpha 	 c 	 dN 	 dalpha 	 dc
4.5 	 29 	 2.12 	 1.000E+00 	 2.320E+00 	 1.210E-01 	 0.000E+00 	 2.501E-01 	 1.804E-02 
5.5 	 52 	 1.62 	 1.000E+00 	 1.923E+00 	 2.031E-01 	 0.000E+00 	 1.022E-01 	 1.313E-02 
6.5 	 56 	 1.32 	 1.000E+00 	 1.831E+00 	 2.259E-01 	 0.000E+00 	 5.332E-02 	 1.233E-02 
7.5 	 54 	 1.05 	 1.000E+00 	 1.785E+00 	 2.266E-01 	 0.000E+00 	 5.772E-02 	 1.351E-02 
8.5 	 46 	 0.76 	 1.000E+00 	 1.749E+00 	 2.121E-01 	 0.000E+00 	 6.621E-02 	 1.224E-02 
9.5 	 48 	 3.54 	 1.000E+00 	 1.732E+00 	 3.770E-01 	 0.000E+00 	 1.941E-01 	 5.576E-02 
10.5 	 44 	 1.85 	 1.000E+00 	 1.782E+00 	 2.681E-01 	 0.000E+00 	 1.463E-01 	 3.196E-02 
11.5 	 28 	 1.15 	 1.000E+00 	 1.640E+00 	 2.859E-01 	 0.000E+00 	 1.483E-01 	 2.700E-02 
12.5 	 15 	 1.29 	 1.000E+00 	 9.012E-01 	 5.661E-01 	 0.000E+00 	 1.542E-01 	 9.131E-02 
13.5 	 12 	 0.49 	 1.000E+00 	 7.767E-01 	 7.365E-01 	 0.000E+00 	 1.214E-01 	 9.293E-02 
