Q	QT	npt	chi2	N	alpha	c	dN	dalpha	dc
5.5	0.9	4	0.09	1.88E+00	1.07E+00	5.36E-01	1.1E+00	1.5E+00	1.0E+00
5.5	1.2	5	0.04	1.86E+00	1.08E+00	5.26E-01	1.6E+00	1.3E+00	9.1E-01
5.5	1.4	6	0.03	1.75E+00	1.18E+00	4.56E-01	1.6E+00	1.0E+00	5.6E-01
5.5	1.7	7	0.04	1.56E+00	1.43E+00	3.29E-01	3.6E-01	8.0E-01	2.8E-01
5.5	1.9	8	0.04	1.62E+00	1.32E+00	3.75E-01	2.3E-01	4.7E-01	1.8E-01
5.5	2.2	9	0.37	1.36E+00	2.27E+00	1.55E-01	7.2E-02	5.3E-01	5.4E-02
5.5	2.4	10	0.96	1.42E+00	1.79E+00	2.21E-01	5.7E-02	2.5E-01	3.9E-02
5.5	2.7	11	0.87	1.44E+00	1.71E+00	2.36E-01	5.0E-02	1.7E-01	2.9E-02
5.5	2.9	12	0.90	1.42E+00	1.86E+00	2.12E-01	4.8E-02	1.0E-01	1.4E-02
6.5	0.9	4	1.00	8.78E-01	2.16E+01	5.48E-10	5.5E-02	1.1E+01	1.5E-08
6.5	1.2	5	0.66	1.93E+00	9.36E-01	6.35E-01	2.0E+00	5.8E-01	5.7E-01
6.5	1.4	6	0.51	1.54E+00	1.26E+00	3.86E-01	3.5E-01	5.5E-01	2.6E-01
6.5	1.7	7	0.45	1.37E+00	1.59E+00	2.58E-01	1.4E-01	4.4E-01	1.2E-01
6.5	1.9	8	0.37	1.39E+00	1.52E+00	2.78E-01	7.4E-02	2.5E-01	6.6E-02
6.5	2.2	9	0.53	1.45E+00	1.36E+00	3.32E-01	6.2E-02	1.7E-01	5.5E-02
6.5	2.4	10	0.49	1.43E+00	1.41E+00	3.14E-01	4.3E-02	1.3E-01	3.7E-02
6.5	2.7	11	0.45	1.44E+00	1.39E+00	3.21E-01	3.9E-02	1.2E-01	3.4E-02
6.5	2.9	12	0.80	1.40E+00	1.54E+00	2.80E-01	2.9E-02	9.5E-02	2.1E-02
6.5	3.2	13	0.88	1.38E+00	1.60E+00	2.66E-01	2.7E-02	8.2E-02	1.6E-02
6.5	3.4	14	0.81	1.39E+00	1.60E+00	2.67E-01	2.6E-02	8.2E-02	1.6E-02
