Q	QT	npt	chi2	N	alpha	c	dN	dalpha	dc
91.0	0.8	5	0.63	9.97E-01	2.09E+00	1.02E+00	1.7E-01	1.6E+00	3.1E-01
91.0	1.2	6	0.43	9.99E-01	1.98E+00	1.00E+00	1.6E-01	1.2E+00	2.7E-01
91.0	1.3	8	0.36	3.00E+00	7.26E-01	2.47E+00	2.9E+00	7.4E-02	1.3E-01
91.0	1.5	9	0.30	3.00E+00	7.31E-01	2.48E+00	3.0E+00	6.8E-02	1.2E-01
91.0	1.8	11	0.40	3.00E+00	7.43E-01	2.50E+00	2.9E+00	3.9E-02	8.1E-02
91.0	2.3	13	0.35	1.74E+00	1.20E+00	1.91E+00	1.3E-01	1.2E-01	9.9E-02
91.0	2.5	14	0.32	1.89E+00	1.08E+00	1.99E+00	2.4E+00	1.5E+00	1.4E+00
91.0	3.0	16	0.53	2.73E+00	7.79E-01	2.37E+00	2.5E+00	3.0E-01	4.6E-01
91.0	4.0	21	0.88	2.26E+00	9.15E-01	2.18E+00	3.4E-01	1.5E-01	1.2E-01
91.0	5.0	27	1.09	2.06E+00	1.01E+00	2.10E+00	1.3E-01	8.4E-02	3.6E-02
91.0	6.0	32	1.17	2.18E+00	9.44E-01	2.13E+00	7.9E-02	4.8E-02	2.2E-02
91.0	7.0	38	1.03	2.16E+00	9.51E-01	2.13E+00	5.0E-02	3.4E-02	1.8E-02
91.0	8.0	43	1.11	2.20E+00	9.26E-01	2.14E+00	3.8E-02	2.6E-02	1.7E-02
91.0	9.0	49	1.02	2.21E+00	9.21E-01	2.14E+00	2.8E-02	2.0E-02	1.7E-02
91.0	10.0	54	1.07	2.24E+00	9.02E-01	2.14E+00	2.4E-02	1.8E-02	1.6E-02
91.0	11.0	58	1.01	2.23E+00	9.08E-01	2.14E+00	2.0E-02	1.6E-02	1.6E-02
91.0	12.0	64	0.99	2.25E+00	8.96E-01	2.14E+00	1.7E-02	1.4E-02	1.6E-02
91.0	13.0	67	1.02	2.26E+00	8.88E-01	2.13E+00	1.6E-02	1.2E-02	1.6E-02
91.0	14.0	72	0.98	2.27E+00	8.86E-01	2.13E+00	1.4E-02	1.1E-02	1.5E-02
91.0	15.0	75	0.96	2.26E+00	8.87E-01	2.13E+00	1.3E-02	1.1E-02	1.5E-02
91.0	16.0	79	166.54	2.31E+00	1.27E+00	5.34E+00	1.8E-02	1.5E-02	6.2E+00
91.0	17.0	83	0.98	2.25E+00	8.94E-01	2.14E+00	1.0E-02	9.4E-03	1.6E-02
