1.0000E-01	1.0247E-09	1.1043E-10	0.0000E+00
3.0000E-01	8.7832E-10	6.4205E-11	0.0000E+00
5.0000E-01	8.5521E-10	5.6500E-11	0.0000E+00
7.0000E-01	6.5489E-10	5.1364E-11	0.0000E+00
9.0000E-01	4.6484E-10	4.3659E-11	0.0000E+00
1.1000E+00	3.3386E-10	3.5955E-11	0.0000E+00
1.3000E+00	1.8748E-10	2.8250E-11	0.0000E+00
1.5000E+00	1.1557E-10	2.0546E-11	0.0000E+00
1.7000E+00	8.9887E-11	1.7977E-11	0.0000E+00
1.9000E+00	5.1364E-11	1.5409E-11	0.0000E+00
2.1000E+00	2.1316E-11	9.5023E-12	0.0000E+00
2.3000E+00	2.4141E-11	1.1043E-11	0.0000E+00
2.5000E+00	1.3611E-11	7.9614E-12	0.0000E+00
2.7000E+00	4.6227E-12	4.6227E-12	0.0000E+00
