2.450e+00	4.141e-11	1.262e-11	3.863e-12	1.309e-12	5.362e-14	1.135e-14	3.960e-15
2.500e+00	3.846e-11	1.168e-11	3.574e-12	1.208e-12	4.991e-14	1.015e-14	3.637e-15
2.550e+00	3.571e-11	1.081e-11	3.307e-12	1.115e-12	4.648e-14	9.058e-15	3.339e-15
2.600e+00	3.316e-11	1.000e-11	3.059e-12	1.029e-12	4.329e-14	8.064e-15	3.065e-15
2.650e+00	3.079e-11	9.251e-12	2.831e-12	9.497e-13	4.033e-14	7.162e-15	2.813e-15
2.700e+00	2.859e-11	8.557e-12	2.620e-12	8.764e-13	3.759e-14	6.346e-15	2.581e-15
2.750e+00	2.656e-11	7.915e-12	2.425e-12	8.089e-13	3.505e-14	5.610e-15	2.369e-15
2.800e+00	2.467e-11	7.322e-12	2.246e-12	7.467e-13	3.269e-14	4.948e-15	2.174e-15
2.850e+00	2.293e-11	6.775e-12	2.080e-12	6.895e-13	3.051e-14	4.353e-15	1.996e-15
2.900e+00	2.132e-11	6.269e-12	1.928e-12	6.368e-13	2.849e-14	3.821e-15	1.833e-15
2.950e+00	1.982e-11	5.803e-12	1.787e-12	5.884e-13	2.662e-14	3.346e-15	1.684e-15
3.000e+00	1.844e-11	5.374e-12	1.658e-12	5.440e-13	2.488e-14	2.922e-15	1.547e-15
3.050e+00	1.717e-11	4.978e-12	1.538e-12	5.031e-13	2.327e-14	2.547e-15	1.423e-15
3.100e+00	1.599e-11	4.613e-12	1.429e-12	4.656e-13	2.179e-14	2.213e-15	1.309e-15
3.150e+00	1.490e-11	4.278e-12	1.328e-12	4.311e-13	2.041e-14	1.919e-15	1.205e-15
3.200e+00	1.389e-11	3.969e-12	1.235e-12	3.995e-13	1.913e-14	1.660e-15	1.110e-15
3.250e+00	1.296e-11	3.684e-12	1.149e-12	3.705e-13	1.794e-14	1.432e-15	1.024e-15
3.300e+00	1.210e-11	3.422e-12	1.070e-12	3.438e-13	1.684e-14	1.232e-15	9.445e-16
3.350e+00	1.130e-11	3.181e-12	9.976e-13	3.193e-13	1.582e-14	1.057e-15	8.723e-16
3.400e+00	1.057e-11	2.959e-12	9.307e-13	2.968e-13	1.487e-14	9.048e-16	8.064e-16
3.450e+00	9.887e-12	2.755e-12	8.689e-13	2.761e-13	1.398e-14	7.722e-16	7.462e-16
3.500e+00	9.257e-12	2.567e-12	8.120e-13	2.571e-13	1.317e-14	6.572e-16	6.912e-16
3.550e+00	8.674e-12	2.393e-12	7.594e-13	2.396e-13	1.240e-14	5.576e-16	6.409e-16
3.600e+00	8.134e-12	2.234e-12	7.108e-13	2.235e-13	1.169e-14	4.717e-16	5.949e-16
3.650e+00	7.634e-12	2.086e-12	6.660e-13	2.087e-13	1.103e-14	3.978e-16	5.528e-16
3.700e+00	7.170e-12	1.950e-12	6.245e-13	1.951e-13	1.042e-14	3.343e-16	5.142e-16
3.750e+00	6.739e-12	1.825e-12	5.862e-13	1.825e-13	9.843e-15	2.800e-16	4.789e-16
3.800e+00	6.340e-12	1.709e-12	5.507e-13	1.709e-13	9.307e-15	2.337e-16	4.465e-16
3.850e+00	5.969e-12	1.602e-12	5.178e-13	1.602e-13	8.807e-15	1.942e-16	4.168e-16
3.900e+00	5.625e-12	1.503e-12	4.873e-13	1.503e-13	8.340e-15	1.607e-16	3.894e-16
3.950e+00	5.304e-12	1.411e-12	4.590e-13	1.412e-13	7.903e-15	1.324e-16	3.643e-16
4.000e+00	5.006e-12	1.327e-12	4.327e-13	1.327e-13	7.494e-15	1.085e-16	3.412e-16
4.050e+00	4.728e-12	1.248e-12	4.083e-13	1.249e-13	7.112e-15	8.843e-17	3.199e-16
4.100e+00	4.470e-12	1.175e-12	3.855e-13	1.176e-13	6.753e-15	7.159e-17	3.003e-16
4.150e+00	4.228e-12	1.108e-12	3.644e-13	1.109e-13	6.417e-15	5.752e-17	2.821e-16
4.200e+00	4.003e-12	1.045e-12	3.447e-13	1.046e-13	6.102e-15	4.581e-17	2.654e-16
4.250e+00	3.793e-12	9.864e-13	3.263e-13	9.879e-14	5.806e-15	3.610e-17	2.499e-16
4.300e+00	3.596e-12	9.320e-13	3.092e-13	9.337e-14	5.528e-15	2.807e-17	2.355e-16
4.350e+00	3.412e-12	8.815e-13	2.931e-13	8.834e-14	5.266e-15	2.147e-17	2.222e-16
