3.250e+00	6.989e-13	3.397e-13	1.445e-13	5.720e-14	9.056e-15
3.300e+00	6.015e-13	2.979e-13	1.348e-13	5.356e-14	8.549e-15
3.350e+00	5.172e-13	2.613e-13	1.258e-13	5.020e-14	8.075e-15
3.400e+00	4.444e-13	2.294e-13	1.175e-13	4.709e-14	7.633e-15
3.450e+00	3.817e-13	2.015e-13	1.098e-13	4.422e-14	7.220e-15
3.500e+00	3.277e-13	1.773e-13	1.028e-13	4.155e-14	6.833e-15
3.550e+00	2.813e-13	1.561e-13	9.631e-14	3.909e-14	6.472e-15
3.600e+00	2.415e-13	1.377e-13	9.032e-14	3.680e-14	6.134e-15
3.650e+00	2.075e-13	1.217e-13	8.478e-14	3.467e-14	5.818e-15
3.700e+00	1.784e-13	1.078e-13	7.966e-14	3.270e-14	5.521e-15
3.750e+00	1.535e-13	9.563e-14	7.492e-14	3.086e-14	5.243e-15
3.800e+00	1.323e-13	8.508e-14	7.052e-14	2.916e-14	4.982e-15
3.850e+00	1.142e-13	7.590e-14	6.645e-14	2.756e-14	4.737e-15
3.900e+00	9.885e-14	6.790e-14	6.267e-14	2.608e-14	4.507e-15
3.950e+00	8.576e-14	6.092e-14	5.915e-14	2.470e-14	4.290e-15
4.000e+00	7.462e-14	5.483e-14	5.588e-14	2.340e-14	4.087e-15
4.050e+00	6.514e-14	4.951e-14	5.284e-14	2.220e-14	3.895e-15
4.100e+00	5.707e-14	4.485e-14	5.001e-14	2.107e-14	3.715e-15
4.150e+00	5.020e-14	4.076e-14	4.736e-14	2.001e-14	3.545e-15
4.200e+00	4.434e-14	3.716e-14	4.489e-14	1.902e-14	3.385e-15
4.250e+00	3.934e-14	3.399e-14	4.259e-14	1.809e-14	3.233e-15
4.300e+00	3.507e-14	3.119e-14	4.043e-14	1.722e-14	3.090e-15
4.350e+00	3.141e-14	2.871e-14	3.841e-14	1.640e-14	2.955e-15
4.400e+00	2.826e-14	2.650e-14	3.652e-14	1.563e-14	2.828e-15
4.450e+00	2.555e-14	2.453e-14	3.475e-14	1.490e-14	2.707e-15
4.500e+00	2.321e-14	2.278e-14	3.309e-14	1.422e-14	2.593e-15
4.550e+00	2.118e-14	2.120e-14	3.153e-14	1.358e-14	2.485e-15
4.600e+00	1.941e-14	1.978e-14	3.006e-14	1.297e-14	2.383e-15
4.650e+00	1.786e-14	1.850e-14	2.868e-14	1.240e-14	2.285e-15
4.700e+00	1.651e-14	1.734e-14	2.738e-14	1.186e-14	2.193e-15
4.750e+00	1.531e-14	1.628e-14	2.615e-14	1.135e-14	2.106e-15
4.800e+00	1.425e-14	1.532e-14	2.500e-14	1.087e-14	2.023e-15
4.850e+00	1.330e-14	1.444e-14	2.391e-14	1.042e-14	1.944e-15
4.900e+00	1.246e-14	1.363e-14	2.288e-14	9.986e-15	1.869e-15
4.950e+00	1.169e-14	1.289e-14	2.190e-14	9.578e-15	1.797e-15
5.000e+00	1.101e-14	1.221e-14	2.098e-14	9.190e-15	1.730e-15
