# E772 800GeV sqrt(s)=38.77 xF:[0.1,0.3]
# m(GeV)	 qT(GeV)	 E*dsig/dydqT^2dQ^2(fm^2/GeV^4)	 Estat
5.5000e+00	1.2500e-01	1.9278e-10	8.7108e-12
5.5000e+00	3.7500e-01	1.5965e-10	4.4553e-12
5.5000e+00	6.2500e-01	1.3823e-10	3.4843e-12
5.5000e+00	8.7500e-01	9.9960e-11	2.5790e-12
5.5000e+00	1.1250e+00	7.3113e-11	2.1934e-12
5.5000e+00	1.3750e+00	5.0837e-11	1.9192e-12
5.5000e+00	1.6250e+00	3.1987e-11	1.5280e-12
5.5000e+00	1.8750e+00	2.3333e-11	1.7907e-12
5.5000e+00	2.1250e+00	7.3970e-12	8.5109e-13
5.5000e+00	2.3750e+00	9.8817e-12	1.6422e-12
5.5000e+00	2.6250e+00	4.1983e-12	9.8532e-13
5.5000e+00	2.8750e+00	1.3052e-12	4.3982e-13
6.5000e+00	1.2500e-01	6.9357e-11	3.6974e-12
6.5000e+00	3.7500e-01	5.5099e-11	1.8487e-12
6.5000e+00	6.2500e-01	5.0265e-11	1.5104e-12
6.5000e+00	8.7500e-01	3.2624e-11	9.9806e-13
6.5000e+00	1.1250e+00	2.5374e-11	8.6031e-13
6.5000e+00	1.3750e+00	1.6167e-11	6.6457e-13
6.5000e+00	1.6250e+00	9.5939e-12	4.9057e-13
6.5000e+00	1.8750e+00	6.3315e-12	4.1566e-13
6.5000e+00	2.1250e+00	5.1474e-12	4.8816e-13
6.5000e+00	2.3750e+00	2.8274e-12	3.6249e-13
6.5000e+00	2.6250e+00	2.3659e-12	5.1957e-13
6.5000e+00	2.8750e+00	9.0865e-13	2.1943e-13
6.5000e+00	3.1250e+00	5.5340e-13	1.9067e-13
6.5000e+00	3.3750e+00	8.3373e-13	1.0271e-12
6.5000e+00	3.6250e+00	2.5616e-13	2.1411e-13
6.5000e+00	3.8750e+00	1.2107e-14	1.0440e-14
7.5000e+00	1.2500e-01	3.5186e-11	2.5133e-12
7.5000e+00	3.7500e-01	2.4295e-11	1.0681e-12
7.5000e+00	6.2500e-01	2.0316e-11	7.5817e-13
7.5000e+00	8.7500e-01	1.5289e-11	5.8224e-13
7.5000e+00	1.1250e+00	1.1184e-11	4.6914e-13
7.5000e+00	1.3750e+00	7.4770e-12	3.7071e-13
7.5000e+00	1.6250e+00	4.6496e-12	2.9322e-13
7.5000e+00	1.8750e+00	2.7227e-12	2.0881e-13
7.5000e+00	2.1250e+00	1.7572e-12	1.8703e-13
7.5000e+00	2.3750e+00	1.0346e-12	1.4849e-13
7.5000e+00	2.6250e+00	7.1209e-13	1.4221e-13
