# E288 200GeV sqrt(s)=19.40 y~0.4
# m(GeV)	 qT(GeV)	 E*dsig/dydqT^2dQ^2(fm^2/GeV^4)	 Estat
4.5000e+00	1.0000e-01	2.1956e-10	1.1170e-11
4.5000e+00	3.0000e-01	2.0525e-10	8.3776e-12
4.5000e+00	5.0000e-01	1.6581e-10	8.0285e-12
4.5000e+00	7.0000e-01	1.2881e-10	7.6794e-12
4.5000e+00	9.0000e-01	1.0228e-10	7.6794e-12
4.5000e+00	1.1000e+00	5.8643e-11	5.5851e-12
4.5000e+00	1.3000e+00	4.3982e-11	4.8869e-12
4.5000e+00	1.5000e+00	2.3667e-11	4.3284e-12
4.5000e+00	1.7000e+00	2.0874e-11	3.5605e-12
4.5000e+00	1.9000e+00	2.0595e-12	2.3387e-12
4.5000e+00	2.1000e+00	6.1436e-12	2.1642e-12
4.5000e+00	2.3000e+00	0.0000e+00	1.9199e-12
4.5000e+00	2.5000e+00	3.6652e-12	1.9548e-12
4.5000e+00	2.7000e+00	0.0000e+00	2.6180e-12
5.5000e+00	1.0000e-01	4.6553e-11	3.1416e-12
5.5000e+00	3.0000e-01	4.1126e-11	2.2848e-12
5.5000e+00	5.0000e-01	3.3986e-11	1.9992e-12
5.5000e+00	7.0000e-01	2.9702e-11	1.9992e-12
5.5000e+00	9.0000e-01	1.7165e-11	1.4566e-12
5.5000e+00	1.1000e+00	1.2595e-11	1.2281e-12
5.5000e+00	1.3000e+00	7.0829e-12	8.5680e-13
5.5000e+00	1.5000e+00	7.2828e-12	1.0282e-12
5.5000e+00	1.7000e+00	4.5410e-12	7.9968e-13
5.5000e+00	1.9000e+00	1.7993e-12	4.2840e-13
5.5000e+00	2.1000e+00	1.2566e-12	4.5696e-13
5.5000e+00	2.3000e+00	1.4280e-12	4.5696e-13
5.5000e+00	2.5000e+00	2.3134e-13	2.3705e-13
5.5000e+00	2.7000e+00	3.3701e-13	2.4847e-13
5.5000e+00	2.9000e+00	1.1995e-13	1.1995e-13
5.5000e+00	3.3000e+00	0.0000e+00	1.4566e-13
6.5000e+00	1.0000e-01	9.6423e-12	1.0391e-12
6.5000e+00	3.0000e-01	8.2648e-12	6.0415e-13
6.5000e+00	5.0000e-01	8.0473e-12	5.3165e-13
6.5000e+00	7.0000e-01	6.1624e-12	4.8332e-13
6.5000e+00	9.0000e-01	4.3741e-12	4.1082e-13
6.5000e+00	1.1000e+00	3.1416e-12	3.3833e-13
6.5000e+00	1.3000e+00	1.7641e-12	2.6583e-13
6.5000e+00	1.5000e+00	1.0875e-12	1.9333e-13
6.5000e+00	1.7000e+00	8.4581e-13	1.6916e-13
6.5000e+00	1.9000e+00	4.8332e-13	1.4500e-13
6.5000e+00	2.1000e+00	2.0058e-13	8.9415e-14
6.5000e+00	2.3000e+00	2.2716e-13	1.0391e-13
6.5000e+00	2.5000e+00	1.2808e-13	7.4915e-14
6.5000e+00	2.7000e+00	4.3499e-14	4.3499e-14
7.5000e+00	1.0000e-01	1.9792e-12	3.9375e-13
7.5000e+00	3.0000e-01	1.8870e-12	2.3248e-13
7.5000e+00	5.0000e-01	1.4703e-12	1.7593e-13
7.5000e+00	7.0000e-01	1.0933e-12	1.4451e-13
7.5000e+00	9.0000e-01	8.6080e-13	1.2776e-13
7.5000e+00	1.1000e+00	6.2204e-13	1.1310e-13
7.5000e+00	1.3000e+00	3.4348e-13	7.9587e-14
7.5000e+00	1.5000e+00	1.9897e-13	6.0737e-14
7.5000e+00	1.7000e+00	1.4451e-13	5.2360e-14
7.5000e+00	1.9000e+00	7.7493e-14	3.5605e-14
7.5000e+00	2.1000e+00	6.7021e-14	3.9794e-14
7.5000e+00	2.3000e+00	3.3510e-14	2.5133e-14
7.5000e+00	3.1000e+00	2.3038e-14	2.5133e-14
8.5000e+00	1.0000e-01	4.1026e-13	1.3860e-13
8.5000e+00	3.0000e-01	3.0492e-13	7.0224e-14
8.5000e+00	5.0000e-01	2.4763e-13	5.3592e-14
8.5000e+00	7.0000e-01	1.8480e-13	4.2504e-14
8.5000e+00	9.0000e-01	1.1273e-13	3.1416e-14
8.5000e+00	1.1000e+00	9.6096e-14	2.9568e-14
8.5000e+00	1.3000e+00	1.1088e-13	3.3264e-14
8.5000e+00	1.5000e+00	3.1416e-14	1.8480e-14
8.5000e+00	1.7000e+00	1.9404e-14	1.3860e-14
8.5000e+00	1.9000e+00	1.9404e-14	1.3860e-14
8.5000e+00	2.1000e+00	1.0718e-14	1.0718e-14
8.5000e+00	2.9000e+00	9.7944e-15	9.7944e-15
9.5000e+00	1.0000e-01	2.6125e-13	1.0086e-13
9.5000e+00	3.0000e-01	3.0755e-14	1.7857e-14
9.5000e+00	5.0000e-01	7.0769e-14	2.3975e-14
9.5000e+00	7.0000e-01	3.7534e-14	1.5543e-14
9.5000e+00	9.0000e-01	7.2257e-14	2.2322e-14
9.5000e+00	1.1000e+00	2.0172e-14	1.0252e-14
9.5000e+00	1.3000e+00	3.6376e-14	1.5212e-14
9.5000e+00	1.5000e+00	5.7871e-15	5.7871e-15
9.5000e+00	1.9000e+00	6.1178e-15	6.1178e-15
9.5000e+00	2.1000e+00	6.9446e-15	7.1099e-15
9.5000e+00	2.3000e+00	6.2832e-14	6.4485e-14
1.0500e+01	1.0000e-01	3.1266e-14	3.1715e-14
1.0500e+01	3.0000e-01	1.8401e-14	1.3165e-14
1.0500e+01	5.0000e-01	6.2832e-15	6.2832e-15
1.0500e+01	7.0000e-01	4.7872e-15	4.9368e-15
1.0500e+01	9.0000e-01	3.8896e-15	4.0392e-15
1.0500e+01	1.1000e+00	1.0622e-14	6.2832e-15
1.0500e+01	1.3000e+00	4.6376e-15	4.6376e-15
1.0500e+01	1.5000e+00	5.3856e-15	5.3856e-15
1.0500e+01	1.9000e+00	9.1256e-15	6.8816e-15
