# E288 400GeV sqrt(s)=27.42 y~0.03
# m(GeV)	 qT(GeV)	 E*dsig/dydqT^2dQ^2(fm^2/GeV^4)	 Estat
5.5000e+00	1.0000e-01	8.2253e-11	3.4272e-12
5.5000e+00	3.0000e-01	7.8825e-11	2.2848e-12
5.5000e+00	5.0000e-01	6.5688e-11	1.9992e-12
5.5000e+00	7.0000e-01	5.9405e-11	1.9992e-12
5.5000e+00	9.0000e-01	4.2269e-11	1.7136e-12
5.5000e+00	1.1000e+00	3.3701e-11	1.7136e-12
5.5000e+00	1.3000e+00	2.3333e-11	1.3709e-12
5.5000e+00	1.5000e+00	1.6850e-11	1.2281e-12
5.5000e+00	1.7000e+00	1.3080e-11	1.0567e-12
5.5000e+00	1.9000e+00	9.1106e-12	9.1392e-13
5.5000e+00	2.1000e+00	4.7695e-12	6.8544e-13
5.5000e+00	2.3000e+00	3.1702e-12	5.9976e-13
5.5000e+00	2.5000e+00	2.0278e-12	5.4264e-13
5.5000e+00	2.7000e+00	1.3994e-12	4.2840e-13
5.5000e+00	2.9000e+00	1.5137e-12	3.9984e-13
5.5000e+00	3.1000e+00	2.2848e-13	3.7128e-13
5.5000e+00	3.5000e+00	7.4256e-13	3.7128e-13
5.5000e+00	3.7000e+00	2.8560e-13	2.8560e-13
5.5000e+00	4.5000e+00	7.7112e-13	7.9968e-13
6.5000e+00	1.0000e-01	2.5133e-11	7.2498e-13
6.5000e+00	3.0000e-01	2.3344e-11	4.3499e-13
6.5000e+00	5.0000e-01	2.1604e-11	3.8666e-13
6.5000e+00	7.0000e-01	1.7085e-11	3.3833e-13
6.5000e+00	9.0000e-01	1.4355e-11	3.3833e-13
6.5000e+00	1.1000e+00	1.0633e-11	2.8999e-13
6.5000e+00	1.3000e+00	7.9748e-12	2.6583e-13
6.5000e+00	1.5000e+00	5.2440e-12	2.1749e-13
6.5000e+00	1.7000e+00	3.6974e-12	1.6916e-13
6.5000e+00	1.9000e+00	2.1266e-12	1.4500e-13
6.5000e+00	2.1000e+00	1.4741e-12	1.2083e-13
6.5000e+00	2.3000e+00	1.2083e-12	9.6664e-14
6.5000e+00	2.5000e+00	6.0415e-13	7.2498e-14
6.5000e+00	2.7000e+00	4.8332e-13	7.2498e-14
6.5000e+00	2.9000e+00	3.3833e-13	7.2498e-14
6.5000e+00	3.1000e+00	1.4258e-13	5.0749e-14
6.5000e+00	3.3000e+00	1.5466e-13	4.5916e-14
6.5000e+00	3.5000e+00	9.1831e-14	2.8999e-14
6.5000e+00	3.7000e+00	7.4915e-14	3.6249e-14
6.5000e+00	3.9000e+00	1.2083e-14	2.1749e-14
6.5000e+00	4.1000e+00	1.2083e-14	1.2083e-14
6.5000e+00	4.3000e+00	4.3499e-14	2.4166e-14
6.5000e+00	4.5000e+00	0.0000e+00	3.6249e-14
6.5000e+00	4.9000e+00	2.8999e-14	2.8999e-14
7.5000e+00	1.0000e-01	8.0006e-12	3.3510e-13
7.5000e+00	3.0000e-01	7.4142e-12	1.8850e-13
7.5000e+00	5.0000e-01	6.8696e-12	1.6755e-13
7.5000e+00	7.0000e-01	5.8643e-12	1.4661e-13
7.5000e+00	9.0000e-01	4.6286e-12	1.4661e-13
7.5000e+00	1.1000e+00	3.5605e-12	1.2566e-13
7.5000e+00	1.3000e+00	2.6180e-12	1.0472e-13
7.5000e+00	1.5000e+00	1.8012e-12	8.3776e-14
7.5000e+00	1.7000e+00	1.1519e-12	6.2832e-14
7.5000e+00	1.9000e+00	9.8437e-13	6.2832e-14
7.5000e+00	2.1000e+00	5.6549e-13	4.1888e-14
7.5000e+00	2.3000e+00	4.1888e-13	4.1888e-14
7.5000e+00	2.5000e+00	2.9322e-13	4.1888e-14
7.5000e+00	2.7000e+00	1.6127e-13	2.5133e-14
7.5000e+00	2.9000e+00	1.2147e-13	2.3038e-14
7.5000e+00	3.1000e+00	6.2832e-14	1.4661e-14
7.5000e+00	3.3000e+00	2.3038e-14	8.3776e-15
7.5000e+00	3.5000e+00	5.0265e-14	1.4661e-14
7.5000e+00	3.7000e+00	4.6077e-14	1.4661e-14
7.5000e+00	3.9000e+00	1.9687e-14	9.8437e-15
7.5000e+00	4.1000e+00	5.4454e-15	5.6549e-15
7.5000e+00	4.3000e+00	5.4454e-15	5.4454e-15
7.5000e+00	4.5000e+00	5.8643e-15	1.0053e-14
7.5000e+00	4.7000e+00	1.1938e-14	8.3776e-15
8.5000e+00	1.0000e-01	2.9198e-12	1.6632e-13
8.5000e+00	3.0000e-01	2.5502e-12	9.2400e-14
8.5000e+00	5.0000e-01	2.2546e-12	7.3920e-14
8.5000e+00	7.0000e-01	2.0698e-12	7.3920e-14
8.5000e+00	9.0000e-01	1.5338e-12	5.5440e-14
8.5000e+00	1.1000e+00	1.1642e-12	5.5440e-14
8.5000e+00	1.3000e+00	8.6856e-13	3.6960e-14
8.5000e+00	1.5000e+00	7.2072e-13	3.6960e-14
8.5000e+00	1.7000e+00	4.2504e-13	3.6960e-14
8.5000e+00	1.9000e+00	3.1601e-13	2.2176e-14
8.5000e+00	2.1000e+00	1.7556e-13	2.0328e-14
8.5000e+00	2.3000e+00	1.3306e-13	1.6632e-14
8.5000e+00	2.5000e+00	7.2072e-14	1.2936e-14
8.5000e+00	2.7000e+00	6.0984e-14	1.1088e-14
8.5000e+00	2.9000e+00	2.9568e-14	7.3920e-15
8.5000e+00	3.1000e+00	1.5523e-14	6.6528e-15
8.5000e+00	3.3000e+00	1.5338e-14	5.9136e-15
8.5000e+00	3.5000e+00	4.8048e-15	3.3264e-15
8.5000e+00	3.7000e+00	1.1642e-14	5.1744e-15
8.5000e+00	4.7000e+00	2.7720e-15	2.7720e-15
