hermes data proton and deuteron
z < 1.0
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 p2	 e0	 e1	 e2
1.25	 0.10	 0.15	 26	 3.28	 9.14E-01	 3.57E-01	 -6.81E-03	 4.2E-02	 9.0E-03	 2.1E-01
1.25	 0.10	 0.20	 28	 3.27	 9.00E-01	 3.61E-01	 1.73E-02	 3.9E-02	 8.6E-03	 1.9E-01
1.25	 0.10	 0.25	 58	 4.76	 9.08E-01	 3.29E-01	 -8.15E-02	 3.1E-02	 6.3E-03	 1.5E-01
1.25	 0.10	 0.30	 61	 4.74	 9.24E-01	 3.23E-01	 -1.35E-01	 3.4E-02	 6.2E-03	 1.7E-01
1.25	 0.10	 0.35	 90	 8.35	 9.09E-01	 3.12E-01	 -2.11E-01	 3.4E-02	 5.1E-03	 1.7E-01
1.25	 0.10	 0.40	 93	 8.58	 8.78E-01	 3.03E-01	 -5.28E-01	 4.1E-02	 4.5E-03	 1.3E-01
1.25	 0.10	 0.45	 122	 14.13	 7.10E-01	 3.21E-01	 -8.16E-01	 3.9E-02	 4.0E-03	 5.7E-02
1.25	 0.10	 0.55	 144	 14.48	 5.48E-01	 3.20E-01	 -1.20E+00	 4.7E-02	 4.3E-03	 3.1E-02
1.25	 0.10	 0.60	 154	 21.21	 2.53E-01	 3.63E-01	 -1.15E+00	 1.1E-01	 4.2E-03	 2.8E-02
1.25	 0.10	 0.70	 162	 22.44	 1.33E-06	 3.46E-01	 -1.50E+00	 8.2E-02	 2.4E-03	 2.2E-02
1.25	 0.10	 0.75	 179	 23.52	 2.03E-01	 3.65E-01	 -1.45E+00	 1.8E-01	 5.4E-03	 2.3E-02
1.25	 0.10	 0.80	 186	 24.56	 1.42E-05	 3.85E-01	 -1.38E+00	 8.6E-02	 2.6E-03	 2.1E-02
1.25	 0.10	 0.95	 188	 27.20	 1.14E-06	 3.60E-01	 -1.78E+00	 6.6E-02	 2.4E-03	 2.1E-02
1.25	 0.10	 1.00	 206	 47.66	 3.25E-01	 5.09E-01	 1.66E-02	 3.8E-02	 2.9E-03	 3.7E-02
1.25	 0.10	 1.05	 213	 46.35	 2.85E-01	 5.17E-01	 2.23E-03	 4.6E-02	 2.6E-03	 3.8E-02
1.25	 0.10	 1.10	 216	 46.02	 -2.48E-01	 5.23E-01	 -8.74E-03	 5.7E-02	 2.5E-03	 3.9E-02
1.25	 0.10	 1.20	 217	 45.83	 2.46E-01	 5.23E-01	 -9.06E-03	 5.7E-02	 2.5E-03	 3.9E-02
1.25	 0.10	 1.40	 218	 45.64	 2.45E-01	 5.23E-01	 -9.20E-03	 5.8E-02	 2.5E-03	 3.9E-02

1.51	 0.10	 0.15	 28	 2.39	 7.55E-01	 4.04E-01	 -6.61E-02	 5.2E-02	 7.8E-03	 1.8E-01
1.51	 0.10	 0.25	 60	 5.89	 6.97E-01	 3.99E-01	 2.90E-02	 2.8E-02	 5.0E-03	 8.8E-02
1.51	 0.10	 0.30	 62	 5.71	 6.96E-01	 4.00E-01	 3.02E-02	 2.7E-02	 5.0E-03	 8.7E-02
1.51	 0.10	 0.35	 92	 6.25	 7.06E-01	 3.87E-01	 2.25E-02	 2.4E-02	 4.3E-03	 8.1E-02
1.51	 0.10	 0.40	 98	 6.03	 7.15E-01	 3.84E-01	 7.94E-03	 2.5E-02	 4.3E-03	 8.7E-02
1.51	 0.10	 0.45	 124	 6.25	 7.09E-01	 3.84E-01	 9.88E-03	 2.5E-02	 4.1E-03	 8.8E-02
1.51	 0.10	 0.55	 152	 7.54	 6.83E-01	 3.81E-01	 -2.05E-01	 4.3E-02	 3.9E-03	 1.2E-01
1.51	 0.10	 0.60	 156	 7.44	 6.76E-01	 3.83E-01	 -2.06E-01	 4.6E-02	 3.9E-03	 1.3E-01
