hermes data proton and deuteron
all z, all Pt 

Q2	Npoints	Chi2	p0	p1
1.25	224	10208.52	0.3178	0.5162
1.51	224	3626.15	0.1782	0.4772
1.82	224	3169.46	0.3709	0.4277
2.88	224	4104.02	0.4503	0.4008
5.23	224	2074.84	0.4936	0.4087
9.21	221	611.86	0.5474	0.4018
