hermes data proton and deuteron
z < 1.0
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 e0	 e1
5.23	 0.10	 0.15	 24	 6.14	 1.00E-06	 5.14E-01	 1.1E-01	 4.7E-03
5.23	 0.10	 0.25	 56	 5.09	 2.66E-05	 4.93E-01	 1.3E-01	 3.2E-03
5.23	 0.10	 0.30	 66	 4.75	 1.33E-01	 4.85E-01	 1.2E-01	 6.5E-03
5.23	 0.10	 0.35	 88	 4.39	 6.78E-06	 4.84E-01	 1.1E-01	 2.7E-03
5.23	 0.10	 0.40	 116	 3.90	 -1.92E-06	 4.82E-01	 8.4E-02	 2.6E-03
5.23	 0.10	 0.45	 120	 3.89	 1.94E-05	 4.82E-01	 8.0E-02	 2.6E-03
5.23	 0.10	 0.55	 152	 4.31	 7.20E-02	 4.81E-01	 1.4E-01	 5.0E-03
5.23	 0.10	 0.70	 184	 6.35	 5.50E-01	 4.08E-01	 1.6E-02	 3.2E-03
5.23	 0.10	 0.90	 189	 6.46	 5.79E-01	 3.98E-01	 1.5E-02	 2.8E-03
5.23	 0.10	 0.95	 214	 7.12	 4.98E-01	 4.06E-01	 9.5E-03	 2.0E-03
5.23	 0.10	 1.00	 216	 7.07	 5.00E-01	 4.05E-01	 9.4E-03	 2.0E-03

9.21	 0.10	 0.15	 22	 0.84	 4.58E-01	 4.91E-01	 1.5E-01	 1.8E-02
9.21	 0.10	 0.20	 24	 0.89	 4.41E-01	 4.91E-01	 1.5E-01	 1.7E-02
9.21	 0.10	 0.25	 54	 1.17	 3.83E-01	 4.66E-01	 9.4E-02	 1.1E-02
9.21	 0.10	 0.30	 65	 1.12	 3.84E-01	 4.61E-01	 8.6E-02	 1.0E-02
9.21	 0.10	 0.35	 86	 1.37	 3.35E-01	 4.56E-01	 8.0E-02	 8.8E-03
9.21	 0.10	 0.40	 108	 1.40	 3.16E-01	 4.56E-01	 7.9E-02	 8.4E-03
9.21	 0.10	 0.45	 118	 1.41	 2.96E-01	 4.56E-01	 8.0E-02	 8.2E-03
9.21	 0.10	 0.55	 150	 1.65	 3.45E-01	 4.51E-01	 6.6E-02	 8.2E-03
9.21	 0.10	 0.70	 182	 2.08	 5.95E-01	 4.00E-01	 3.6E-02	 5.8E-03
9.21	 0.10	 0.85	 183	 2.08	 5.98E-01	 4.00E-01	 3.6E-02	 5.8E-03
9.21	 0.10	 0.90	 193	 2.23	 5.23E-01	 3.99E-01	 2.7E-02	 4.6E-03
9.21	 0.10	 0.95	 211	 2.16	 5.63E-01	 3.94E-01	 2.2E-02	 4.2E-03

