hermes data proton and deuteron
z < 0.6
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 p2	 e0	 e1	 e2
1.25	 0.20	 0.25	 24	 0.33	 9.53E-01	 2.28E-01	 -6.67E-01	 1.2E-01	 1.7E-02	 1.1E+00
1.25	 0.20	 0.35	 48	 8.56	 9.60E-01	 2.96E-01	 1.08E+00	 9.0E-02	 3.1E-02	 1.4E+00
1.25	 0.20	 0.45	 72	 19.47	 5.38E-01	 3.14E-01	 -8.88E-01	 3.1E-01	 9.5E-03	 7.3E-01
1.25	 0.20	 0.55	 86	 18.63	 7.30E-01	 3.16E-01	 -5.56E-01	 1.2E-01	 8.8E-03	 4.6E-01
1.25	 0.20	 0.60	 96	 29.70	 4.52E-01	 3.78E-01	 -7.37E-01	 1.9E-01	 6.8E-03	 2.7E-01
1.25	 0.20	 0.75	 113	 29.54	 9.12E-01	 3.69E-01	 -5.99E-01	 6.9E-02	 7.8E-03	 2.0E-01
1.25	 0.20	 0.80	 120	 30.20	 6.41E-01	 4.22E-01	 -6.07E-01	 1.1E-01	 7.2E-03	 2.0E-01
1.25	 0.20	 1.00	 132	 27.93	 5.77E-01	 4.41E-01	 -4.98E-01	 8.9E-02	 5.7E-03	 1.5E-01
1.25	 0.20	 1.05	 139	 27.04	 4.87E-01	 4.57E-01	 -5.18E-01	 1.1E-01	 5.3E-03	 1.4E-01
1.25	 0.20	 1.10	 142	 27.17	 3.65E-01	 4.69E-01	 -5.45E-01	 1.5E-01	 5.1E-03	 1.4E-01
1.25	 0.20	 1.20	 143	 27.03	 3.57E-01	 4.70E-01	 -5.46E-01	 1.6E-01	 5.1E-03	 1.4E-01
1.25	 0.20	 1.40	 144	 26.88	 3.55E-01	 4.70E-01	 -5.46E-01	 1.6E-01	 5.1E-03	 1.4E-01

1.51	 0.20	 0.25	 24	 0.76	 7.48E-01	 3.18E-01	 -5.22E-01	 1.2E-01	 1.2E-02	 5.1E-01
1.51	 0.20	 0.35	 48	 2.00	 7.60E-01	 3.05E-01	 -5.25E-01	 1.1E-01	 9.9E-03	 4.8E-01
1.51	 0.20	 0.45	 72	 4.26	 7.08E-01	 3.27E-01	 -3.89E-01	 1.4E-01	 1.2E-02	 6.1E-01
1.51	 0.20	 0.55	 92	 7.12	 4.65E-01	 3.58E-01	 -7.09E-01	 2.1E-01	 7.5E-03	 3.9E-01
1.51	 0.20	 0.60	 96	 7.07	 4.23E-01	 3.64E-01	 -6.99E-01	 3.2E-01	 9.3E-03	 5.3E-01
1.51	 0.20	 0.70	 107	 7.26	 6.82E-01	 3.59E-01	 -4.53E-01	 1.3E-01	 9.0E-03	 4.1E-01
1.51	 0.20	 0.75	 117	 8.02	 4.75E-01	 3.85E-01	 -6.48E-01	 2.0E-01	 7.1E-03	 3.3E-01
1.51	 0.20	 0.80	 120	 8.09	 4.54E-01	 3.93E-01	 -5.92E-01	 3.0E-01	 1.0E-02	 5.0E-01
1.51	 0.20	 0.95	 125	 7.81	 4.58E-01	 3.99E-01	 -4.89E-01	 2.0E-01	 7.8E-03	 3.5E-01
