hermes data proton and deuteron
z < 0.7, 0.2 < Pt < 0.9

Q2	Npoints	Chi2	p0	p1
1.25	140	3044.04	0.7580	0.4485
1.51	140	503.86	0.6483	0.4128
1.82	141	434.15	0.6477	0.3750
2.88	144	717.68	0.7593	0.3438
5.23	145	496.01	0.7342	0.3571
9.21	146	244.10	0.6238	0.3659
