hermes data proton and deuteron
z < 0.6
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 e0	 e1
1.25	 0.20	 0.25	 24	 0.35	 1.01E+00	 2.36E-01	 4.1E-02	 1.3E-02
1.25	 0.20	 0.35	 48	 8.57	 8.72E-01	 2.76E-01	 2.9E-02	 6.6E-03
1.25	 0.20	 0.45	 72	 19.48	 7.71E-01	 3.28E-01	 3.0E-02	 5.5E-03
1.25	 0.20	 0.55	 86	 18.64	 8.38E-01	 3.25E-01	 2.8E-02	 5.6E-03
1.25	 0.20	 0.60	 96	 29.77	 7.40E-01	 3.93E-01	 3.7E-02	 5.7E-03
1.25	 0.20	 0.75	 113	 29.60	 1.04E+00	 3.81E-01	 3.3E-02	 7.2E-03
1.25	 0.20	 0.80	 120	 30.27	 8.63E-01	 4.36E-01	 3.7E-02	 6.2E-03
1.25	 0.20	 1.00	 132	 28.01	 7.81E-01	 4.54E-01	 2.1E-02	 4.8E-03
1.25	 0.20	 1.05	 139	 27.13	 7.40E-01	 4.71E-01	 2.2E-02	 4.4E-03
1.25	 0.20	 1.10	 142	 27.27	 6.94E-01	 4.85E-01	 2.4E-02	 4.2E-03
1.25	 0.20	 1.20	 143	 27.13	 6.91E-01	 4.85E-01	 2.4E-02	 4.2E-03
1.25	 0.20	 1.40	 144	 26.98	 6.90E-01	 4.86E-01	 2.4E-02	 4.2E-03

1.51	 0.20	 0.25	 24	 0.80	 8.45E-01	 3.28E-01	 3.2E-02	 8.3E-03
1.51	 0.20	 0.35	 48	 2.02	 8.49E-01	 3.15E-01	 2.5E-02	 6.7E-03
1.51	 0.20	 0.45	 72	 4.26	 7.85E-01	 3.34E-01	 2.4E-02	 5.5E-03
1.51	 0.20	 0.55	 92	 7.15	 7.08E-01	 3.73E-01	 2.6E-02	 4.9E-03
1.51	 0.20	 0.60	 96	 7.08	 6.84E-01	 3.78E-01	 2.6E-02	 4.6E-03
1.51	 0.20	 0.70	 107	 7.27	 7.93E-01	 3.69E-01	 2.1E-02	 4.7E-03
1.51	 0.20	 0.75	 117	 8.05	 7.20E-01	 4.00E-01	 2.3E-02	 4.2E-03
1.51	 0.20	 0.80	 120	 8.10	 6.92E-01	 4.07E-01	 2.3E-02	 4.0E-03
1.51	 0.20	 0.95	 125	 7.82	 6.54E-01	 4.11E-01	 1.5E-02	 3.3E-03
1.51	 0.20	 1.00	 140	 7.58	 6.34E-01	 4.23E-01	 1.4E-02	 2.9E-03
1.51	 0.20	 1.05	 143	 7.86	 6.13E-01	 4.29E-01	 1.5E-02	 2.8E-03
1.51	 0.20	 1.25	 144	 7.84	 6.13E-01	 4.29E-01	 1.5E-02	 2.8E-03

1.82	 0.20	 0.25	 24	 0.73	 6.87E-01	 3.77E-01	 3.6E-02	 7.4E-03
1.82	 0.20	 0.35	 48	 1.08	 7.10E-01	 3.63E-01	 2.8E-02	 6.1E-03
1.82	 0.20	 0.40	 54	 1.34	 7.11E-01	 3.62E-01	 2.8E-02	 6.0E-03
1.82	 0.20	 0.45	 72	 1.25	 7.00E-01	 3.64E-01	 2.7E-02	 5.8E-03
1.82	 0.20	 0.55	 96	 1.27	 7.15E-01	 3.62E-01	 2.4E-02	 4.9E-03
1.82	 0.20	 0.70	 117	 1.48	 7.29E-01	 3.63E-01	 1.6E-02	 3.5E-03
1.82	 0.20	 0.75	 120	 1.51	 7.17E-01	 3.66E-01	 1.6E-02	 3.2E-03
1.82	 0.20	 0.90	 121	 1.51	 7.20E-01	 3.65E-01	 1.5E-02	 3.2E-03
1.82	 0.20	 0.95	 138	 1.81	 6.36E-01	 3.78E-01	 8.9E-03	 2.3E-03
1.82	 0.20	 1.00	 144	 2.36	 6.20E-01	 3.83E-01	 9.0E-03	 2.2E-03

2.88	 0.20	 0.25	 24	 0.51	 6.23E-01	 4.00E-01	 4.1E-02	 8.8E-03
