hermes data proton and deuteron
all z, all Pt 

Q2	Npoints	Chi2	p0	p1	p2	p3
1.25	224	7512.2484	1.5902	-0.3044	0.3543	0.3802
1.51	224	3070.9733	0.1757	-1.6763	0.4380	0.4024
1.82	224	2286.2153	0.4784	0.0000	0.4118	0.4418
2.88	224	2936.0733	0.4910	0.0000	0.3952	0.4113
5.23	224	1538.2360	0.5114	0.4719	0.3973	0.4216
9.21	221	470.9085	0.5715	0.6143	0.3838	0.4252
