hermes data proton and deuteron
z < 0.6
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 p2	 e0	 e1	 e2
1.25	 0.10	 0.15	 21	 1.26	 1.06E+00	 3.18E-01	 -2.19E-01	 2.6E-01	 3.8E-02	 1.9E+00
1.25	 0.10	 0.25	 45	 3.91	 9.88E-01	 2.84E-01	 -7.78E-01	 1.0E-01	 9.8E-03	 5.9E-01
1.25	 0.10	 0.35	 69	 9.21	 9.55E-01	 2.84E-01	 -7.08E-01	 9.0E-02	 8.4E-03	 5.1E-01
1.25	 0.10	 0.45	 93	 16.65	 8.39E-01	 3.11E-01	 -6.78E-01	 1.2E-01	 8.2E-03	 5.0E-01
1.25	 0.10	 0.55	 107	 16.02	 8.67E-01	 3.13E-01	 -5.87E-01	 8.6E-02	 7.6E-03	 4.0E-01
1.25	 0.10	 0.60	 117	 24.92	 7.13E-01	 3.54E-01	 -7.34E-01	 1.1E-01	 6.3E-03	 3.0E-01
1.25	 0.10	 0.75	 134	 25.54	 9.44E-01	 3.53E-01	 -5.86E-01	 5.9E-02	 6.7E-03	 2.1E-01
1.25	 0.10	 0.80	 141	 26.97	 7.64E-01	 3.95E-01	 -6.01E-01	 8.8E-02	 6.5E-03	 2.2E-01
1.25	 0.10	 1.00	 153	 25.53	 7.16E-01	 4.14E-01	 -4.83E-01	 6.3E-02	 5.4E-03	 1.5E-01
1.25	 0.10	 1.05	 160	 25.25	 6.48E-01	 4.31E-01	 -5.05E-01	 7.1E-02	 5.1E-03	 1.4E-01
1.25	 0.10	 1.10	 163	 25.69	 5.67E-01	 4.44E-01	 -5.30E-01	 8.6E-02	 5.0E-03	 1.3E-01
1.25	 0.10	 1.20	 164	 25.59	 5.63E-01	 4.45E-01	 -5.30E-01	 8.7E-02	 5.0E-03	 1.3E-01
1.25	 0.10	 1.40	 165	 25.47	 5.62E-01	 4.45E-01	 -5.30E-01	 8.7E-02	 5.0E-03	 1.3E-01

1.51	 0.10	 0.15	 23	 0.56	 7.64E-01	 3.77E-01	 -4.51E-01	 1.7E-01	 1.3E-02	 5.5E-01
1.51	 0.10	 0.25	 47	 3.74	 7.52E-01	 3.57E-01	 -4.84E-01	 1.2E-01	 8.9E-03	 4.0E-01
1.51	 0.10	 0.35	 71	 5.25	 7.45E-01	 3.46E-01	 -5.24E-01	 1.1E-01	 7.9E-03	 3.8E-01
