hermes data proton and deuteron
z < 0.6, 0.2 < Pt < 0.9

Q2	Npoints	Chi2	p0	p1	p2
1.25	120	3470.4325	0.0000	0.7356	0.5824
1.51	120	951.3581	0.5359	0.4889	0.2093
1.82	121	179.2898	0.7393	0.3524	-0.0404
2.88	124	171.8186	0.6355	0.4380	0.2599
5.23	125	211.7473	0.5745	0.4735	0.3230
9.21	127	175.4545	0.0002	0.5532	0.4538
