hermes data proton and deuteron
z < 1.0
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 p2	 e0	 e1	 e2
1.25	 0.20	 0.25	 30	 1.02	 8.78E-01	 2.54E-01	 -3.41E-01	 6.5E-02	 1.0E-02	 3.9E-01
1.25	 0.20	 0.30	 33	 1.30	 8.27E-01	 2.46E-01	 -8.25E-01	 6.4E-02	 1.1E-02	 1.5E-01
1.25	 0.20	 0.35	 62	 7.04	 6.44E-01	 2.71E-01	 -9.72E-01	 5.0E-02	 5.8E-03	 6.9E-02
1.25	 0.20	 0.40	 65	 7.07	 5.82E-01	 2.70E-01	 -1.15E+00	 5.3E-02	 5.8E-03	 4.9E-02
1.25	 0.20	 0.45	 94	 15.48	 2.32E-01	 3.18E-01	 -1.16E+00	 1.3E-01	 4.8E-03	 3.6E-02
1.25	 0.20	 0.55	 116	 15.37	 1.69E-04	 3.17E-01	 -1.38E+00	 6.1E-01	 3.1E-03	 2.7E-02
1.25	 0.20	 0.60	 126	 24.16	 1.56E-07	 3.64E-01	 -1.21E+00	 8.7E-02	 3.1E-03	 2.5E-02
1.25	 0.20	 0.70	 134	 24.92	 2.06E-05	 3.45E-01	 -1.55E+00	 7.1E-02	 2.9E-03	 2.4E-02
1.25	 0.20	 0.75	 151	 25.42	 1.65E-04	 3.74E-01	 -1.49E+00	 2.9E-01	 2.9E-03	 2.4E-02
1.25	 0.20	 0.80	 158	 26.14	 2.39E-05	 3.94E-01	 -1.41E+00	 8.7E-02	 2.9E-03	 2.3E-02
1.25	 0.20	 0.95	 160	 28.51	 -2.12E-06	 3.70E-01	 -1.80E+00	 7.3E-02	 2.8E-03	 2.3E-02
1.25	 0.20	 1.00	 178	 51.24	 1.62E+00	 6.30E-01	 7.00E+00	 1.1E-02	 2.9E-02	 4.1E-01
1.25	 0.20	 1.05	 185	 49.68	 1.64E+00	 6.25E-01	 6.69E+00	 1.1E-02	 2.8E-02	 3.9E-01
1.25	 0.20	 1.10	 188	 49.87	 1.64E+00	 6.18E-01	 6.20E+00	 1.1E-02	 2.5E-02	 3.4E-01
1.25	 0.20	 1.20	 189	 49.67	 1.64E+00	 6.20E-01	 6.20E+00	 1.1E-02	 2.5E-02	 3.4E-01
1.25	 0.20	 1.40	 190	 49.44	 1.64E+00	 6.21E-01	 6.20E+00	 1.1E-02	 2.5E-02	 3.4E-01

1.51	 0.20	 0.25	 32	 3.20	 6.27E-01	 3.74E-01	 4.42E-02	 3.5E-02	 6.7E-03	 1.1E-01
1.51	 0.20	 0.30	 34	 3.03	 6.30E-01	 3.73E-01	 4.20E-02	 3.5E-02	 6.6E-03	 1.2E-01
1.51	 0.20	 0.35	 64	 3.18	 6.63E-01	 3.54E-01	 2.83E-02	 2.8E-02	 5.5E-03	 1.1E-01
1.51	 0.20	 0.40	 70	 3.30	 6.87E-01	 3.47E-01	 1.19E-03	 3.0E-02	 5.5E-03	 1.2E-01
1.51	 0.20	 0.45	 96	 4.35	 6.69E-01	 3.55E-01	 1.06E-02	 3.3E-02	 5.2E-03	 1.3E-01
1.51	 0.20	 0.55	 124	 7.61	 4.56E-01	 3.67E-01	 -5.60E-01	 6.4E-02	 3.8E-03	 6.8E-02
1.51	 0.20	 0.60	 128	 7.53	 4.12E-01	 3.71E-01	 -5.82E-01	 6.9E-02	 3.7E-03	 6.3E-02
1.51	 0.20	 0.70	 147	 11.39	 2.79E-06	 3.54E-01	 -1.19E+00	 1.0E-01	 2.6E-03	 2.3E-02
1.51	 0.20	 0.75	 157	 11.77	 3.88E-07	 3.72E-01	 -1.12E+00	 6.5E-02	 2.4E-03	 2.2E-02
1.51	 0.20	 0.80	 160	 11.80	 -3.78E-07	 3.74E-01	 -1.10E+00	 5.9E-02	 2.4E-03	 2.2E-02
1.51	 0.20	 0.95	 173	 16.23	 -2.74E-01	 4.75E-01	 1.18E-01	 2.6E-02	 2.5E-03	 3.1E-02
1.51	 0.20	 1.00	 188	 15.49	 2.65E-01	 4.79E-01	 1.11E-01	 2.6E-02	 2.0E-03	 2.9E-02
1.51	 0.20	 1.05	 191	 15.32	 2.61E-01	 4.81E-01	 1.12E-01	 2.7E-02	 2.0E-03	 2.9E-02
1.51	 0.20	 1.25	 192	 15.25	 2.61E-01	 4.81E-01	 1.12E-01	 2.7E-02	 2.0E-03	 2.9E-02

1.82	 0.20	 0.25	 31	 8.99	 1.94E-01	 4.51E-01	 1.35E-01	 6.9E-02	 5.7E-03	 5.9E-02
1.82	 0.20	 0.30	 34	 8.21	 1.95E-01	 4.51E-01	 1.35E-01	 6.7E-02	 5.5E-03	 5.9E-02
1.82	 0.20	 0.35	 63	 6.23	 2.82E-01	 4.31E-01	 1.13E-01	 4.3E-02	 4.6E-03	 5.5E-02
1.82	 0.20	 0.40	 76	 5.56	 2.95E-01	 4.29E-01	 1.11E-01	 4.1E-02	 4.6E-03	 5.6E-02
1.82	 0.20	 0.45	 95	 4.60	 3.01E-01	 4.28E-01	 1.11E-01	 4.1E-02	 4.5E-03	 5.7E-02
1.82	 0.20	 0.55	 127	 4.42	 3.20E-01	 4.23E-01	 9.91E-02	 3.8E-02	 4.4E-03	 5.3E-02
1.82	 0.20	 0.70	 156	 7.52	 3.87E-01	 4.24E-01	 1.10E-01	 2.2E-02	 3.0E-03	 3.7E-02
1.82	 0.20	 0.75	 159	 7.50	 3.99E-01	 4.19E-01	 1.01E-01	 2.1E-02	 2.8E-03	 3.7E-02
1.82	 0.20	 0.90	 160	 7.64	 4.13E-01	 4.15E-01	 9.21E-02	 2.1E-02	 2.8E-03	 3.7E-02
1.82	 0.20	 0.95	 185	 9.37	 4.47E-01	 4.21E-01	 1.06E-01	 1.2E-02	 1.8E-03	 2.7E-02
1.82	 0.20	 1.00	 191	 9.24	 4.43E-01	 4.23E-01	 1.07E-01	 1.3E-02	 1.8E-03	 2.8E-02

2.88	 0.20	 0.25	 31	 7.15	 8.50E-02	 4.82E-01	 1.55E-01	 1.8E-01	 6.7E-03	 6.1E-02
2.88	 0.20	 0.30	 40	 6.03	 6.13E-05	 4.84E-01	 1.65E-01	 2.5E-01	 6.2E-03	 3.1E-02
2.88	 0.20	 0.35	 63	 4.88	 1.72E-01	 4.69E-01	 1.50E-01	 7.4E-02	 5.3E-03	 5.4E-02
2.88	 0.20	 0.40	 93	 3.76	 1.77E-01	 4.68E-01	 1.55E-01	 7.0E-02	 5.0E-03	 5.3E-02
2.88	 0.20	 0.45	 95	 3.68	 1.78E-01	 4.68E-01	 1.55E-01	 6.9E-02	 5.0E-03	 5.3E-02
2.88	 0.20	 0.55	 127	 4.83	 2.80E-01	 4.45E-01	 1.22E-01	 4.3E-02	 5.5E-03	 5.0E-02
2.88	 0.20	 0.70	 159	 6.99	 5.89E-01	 3.71E-01	 2.56E-02	 2.0E-02	 3.1E-03	 5.1E-02
2.88	 0.20	 0.90	 163	 6.89	 6.00E-01	 3.68E-01	 1.81E-02	 1.9E-02	 2.8E-03	 5.2E-02
2.88	 0.20	 0.95	 191	 9.59	 4.82E-01	 3.93E-01	 7.73E-02	 1.1E-02	 1.7E-03	 2.7E-02

5.23	 0.20	 0.25	 32	 2.62	 3.25E-01	 4.58E-01	 1.17E-01	 8.5E-02	 9.6E-03	 1.1E-01
5.23	 0.20	 0.30	 42	 2.13	 3.58E-01	 4.49E-01	 1.14E-01	 7.5E-02	 8.6E-03	 1.1E-01
5.23	 0.20	 0.35	 64	 2.37	 2.95E-01	 4.58E-01	 1.33E-01	 6.9E-02	 7.4E-03	 8.3E-02
5.23	 0.20	 0.40	 92	 2.27	 2.72E-01	 4.61E-01	 1.41E-01	 7.0E-02	 6.9E-03	 8.0E-02
5.23	 0.20	 0.45	 96	 2.31	 2.68E-01	 4.61E-01	 1.42E-01	 7.0E-02	 6.8E-03	 7.9E-02
5.23	 0.20	 0.55	 128	 3.17	 3.55E-01	 4.47E-01	 1.19E-01	 5.0E-02	 6.9E-03	 7.8E-02
5.23	 0.20	 0.70	 160	 4.29	 5.93E-01	 3.81E-01	 2.13E-02	 2.5E-02	 4.1E-03	 7.3E-02
5.23	 0.20	 0.90	 165	 4.22	 6.03E-01	 3.77E-01	 1.88E-02	 2.5E-02	 3.8E-03	 7.3E-02
5.23	 0.20	 0.95	 190	 5.24	 5.38E-01	 3.93E-01	 6.82E-02	 1.6E-02	 2.7E-03	 4.6E-02
5.23	 0.20	 1.00	 192	 5.20	 5.38E-01	 3.93E-01	 6.76E-02	 1.6E-02	 2.7E-03	 4.5E-02

9.21	 0.20	 0.25	 30	 0.57	 4.14E-01	 4.28E-01	 2.49E-02	 1.9E-01	 1.9E-02	 3.5E-01
9.21	 0.20	 0.30	 41	 0.51	 4.22E-01	 4.26E-01	 4.02E-02	 1.8E-01	 1.8E-02	 3.3E-01
9.21	 0.20	 0.35	 62	 0.80	 3.91E-01	 4.22E-01	 7.18E-02	 1.4E-01	 1.5E-02	 2.6E-01
9.21	 0.20	 0.40	 84	 0.95	 3.86E-01	 4.23E-01	 9.64E-02	 1.4E-01	 1.5E-02	 2.6E-01
9.21	 0.20	 0.45	 94	 0.99	 3.68E-01	 4.24E-01	 9.43E-02	 1.5E-01	 1.4E-02	 2.6E-01
9.21	 0.20	 0.55	 126	 1.36	 4.32E-01	 4.10E-01	 2.08E-02	 1.1E-01	 1.3E-02	 2.2E-01
9.21	 0.20	 0.70	 158	 1.57	 6.08E-01	 3.69E-01	 -8.84E-02	 6.7E-02	 8.2E-03	 2.0E-01
9.21	 0.20	 0.85	 159	 1.56	 6.08E-01	 3.69E-01	 -8.92E-02	 6.7E-02	 8.1E-03	 2.0E-01
9.21	 0.20	 0.90	 169	 1.63	 5.52E-01	 3.75E-01	 -2.08E-02	 5.4E-02	 6.8E-03	 1.6E-01
9.21	 0.20	 0.95	 187	 1.61	 6.00E-01	 3.72E-01	 -5.34E-03	 4.7E-02	 6.6E-03	 1.6E-01

