hermes data proton and deuteron
z < 0.7
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 e0	 e1
2.88	 0.10	 0.90	 170	 5.29	 7.29E-01	 3.64E-01	 1.1E-02	 2.3E-03
2.88	 0.10	 0.95	 194	 5.43	 6.57E-01	 3.70E-01	 6.8E-03	 1.7E-03

5.23	 0.10	 0.15	 21	 0.94	 5.61E-01	 4.73E-01	 4.9E-02	 8.5E-03
5.23	 0.10	 0.25	 49	 2.23	 4.91E-01	 4.58E-01	 3.4E-02	 5.9E-03
5.23	 0.10	 0.30	 59	 2.13	 5.10E-01	 4.51E-01	 3.2E-02	 5.5E-03
5.23	 0.10	 0.35	 77	 2.20	 4.66E-01	 4.51E-01	 2.9E-02	 5.1E-03
5.23	 0.10	 0.40	 102	 2.29	 4.38E-01	 4.53E-01	 2.9E-02	 4.9E-03
5.23	 0.10	 0.45	 105	 2.30	 4.36E-01	 4.53E-01	 2.9E-02	 4.9E-03
5.23	 0.10	 0.55	 133	 2.96	 4.57E-01	 4.47E-01	 2.7E-02	 4.9E-03
5.23	 0.10	 0.70	 161	 4.56	 6.49E-01	 3.94E-01	 1.5E-02	 3.1E-03
5.23	 0.10	 0.90	 166	 4.66	 6.66E-01	 3.87E-01	 1.4E-02	 2.8E-03
5.23	 0.10	 0.95	 187	 4.72	 6.26E-01	 3.87E-01	 9.5E-03	 2.2E-03
5.23	 0.10	 1.00	 189	 4.68	 6.26E-01	 3.87E-01	 9.5E-03	 2.2E-03

9.21	 0.10	 0.15	 19	 0.60	 5.81E-01	 4.79E-01	 1.3E-01	 1.7E-02
9.21	 0.10	 0.20	 21	 0.70	 5.61E-01	 4.80E-01	 1.3E-01	 1.7E-02
9.21	 0.10	 0.25	 47	 1.10	 4.87E-01	 4.56E-01	 8.0E-02	 1.1E-02
9.21	 0.10	 0.30	 57	 1.02	 4.80E-01	 4.53E-01	 7.4E-02	 1.0E-02
9.21	 0.10	 0.35	 75	 1.30	 4.45E-01	 4.47E-01	 6.6E-02	 8.9E-03
9.21	 0.10	 0.40	 96	 1.36	 4.30E-01	 4.46E-01	 6.5E-02	 8.6E-03
9.21	 0.10	 0.45	 103	 1.41	 4.07E-01	 4.47E-01	 6.5E-02	 8.5E-03
9.21	 0.10	 0.55	 131	 1.63	 4.44E-01	 4.41E-01	 5.8E-02	 8.5E-03
9.21	 0.10	 0.70	 159	 2.07	 6.43E-01	 3.95E-01	 3.6E-02	 6.0E-03
9.21	 0.10	 0.85	 160	 2.07	 6.46E-01	 3.94E-01	 3.6E-02	 5.9E-03
9.21	 0.10	 0.90	 167	 2.27	 5.80E-01	 3.92E-01	 2.8E-02	 4.9E-03
9.21	 0.10	 0.95	 183	 2.17	 6.07E-01	 3.88E-01	 2.3E-02	 4.5E-03

