hermes data proton and deuteron
z < 0.7, 0.2 < Pt < 0.9

Q2	Npoints	Chi2	p0	p1	p2	p3
1.25	140	3643.3912	0.6885	0.7938	0.4517	0.4606
1.51	140	980.2057	0.7041	0.4312	0.4022	0.4341
1.82	141	396.2785	0.7231	0.3223	0.3663	0.3891
2.88	144	403.9140	0.7793	0.1285	0.3432	0.3635
5.23	145	360.5087	0.6890	0.7332	0.3472	0.3898
9.21	146	203.8644	0.6394	0.7480	0.3483	-0.3998
