1

hermes data proton and deuteron
z < 0.6, 0.2 < Pt < 0.9

Q2	Npoints	Chi2	p0	p1	p2
1.25	120	2864.53	0.0000	0.7327	0.5796
1.51	120	459.13	0.6119	0.4642	0.1599
1.82	121	276.17	0.7136	0.3688	0.0145
2.88	124	492.47	0.6821	0.4416	0.2946
5.23	125	350.64	0.6978	0.4337	0.2504
9.21	127	199.87	-0.0000	0.5557	0.4619


hermes data proton and deuteron
z < 0.7, 0.2 < Pt < 0.9

Q2	Npoints	Chi2	p0	p1	p2
1.25	140	2927.84	0.0000	0.7077	0.5304
1.51	140	481.74	0.3818	0.5473	0.3334
1.82	141	400.98	0.4367	0.4929	0.3142
2.88	144	591.71	0.1616	0.6127	0.6074
5.23	145	428.87	0.1535	0.6165	0.5959
9.21	146	229.01	0.2587	0.5314	0.4195


hermes data proton and deuteron
z < 0.7, all Pt 

Q2	Npoints	Chi2	p0	p1	p2
1.25	168	3320.64	0.0000	0.7088	0.5147
1.51	168	801.58	0.4845	0.5081	0.2171
1.82	168	1278.05	0.4833	0.4552	0.1734
2.88	168	1661.25	0.3940	0.5196	0.3935
5.23	168	1259.81	0.7275	0.3475	-0.1077
9.21	165	524.06	0.5881	0.4027	0.0226


hermes data proton and deuteron
all z, all Pt 

Q2	Npoints	Chi2	p0	p1	p2	p3
1.25	224	9947.49	-0.0000	0.6048	0.2518
1.51	224	3338.46	-0.0000	0.5228	0.1620
1.82	224	2507.63	0.0000	0.5333	0.3176
2.88	224	2906.78	-0.0000	0.5505	0.4155
5.23	224	1809.03	0.0000	0.5583	0.3868
9.21	221	603.43	0.4171	0.4688	0.1820
