hermes data proton and deuteron
z < 0.7
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 p2	 e0	 e1	 e2
1.25	 0.10	 0.15	 25	 3.02	 9.29E-01	 3.47E-01	 -1.37E-01	 5.8E-02	 1.0E-02	 3.0E-01
1.25	 0.10	 0.25	 53	 4.88	 9.22E-01	 3.18E-01	 -2.48E-01	 4.2E-02	 7.2E-03	 2.2E-01
1.25	 0.10	 0.35	 81	 8.90	 9.03E-01	 3.11E-01	 -2.56E-01	 3.7E-02	 6.0E-03	 2.0E-01
1.25	 0.10	 0.40	 82	 8.81	 9.00E-01	 3.12E-01	 -2.55E-01	 3.7E-02	 6.0E-03	 2.0E-01
1.25	 0.10	 0.45	 109	 14.75	 8.34E-01	 3.32E-01	 -2.35E-01	 4.2E-02	 5.6E-03	 2.0E-01
1.25	 0.10	 0.55	 127	 14.01	 8.41E-01	 3.33E-01	 -2.48E-01	 4.0E-02	 5.5E-03	 1.9E-01
1.25	 0.10	 0.60	 137	 21.64	 7.39E-01	 3.73E-01	 -3.22E-01	 5.4E-02	 5.2E-03	 1.7E-01
1.25	 0.10	 0.70	 141	 21.27	 7.37E-01	 3.74E-01	 -3.18E-01	 5.4E-02	 5.3E-03	 1.7E-01
1.25	 0.10	 0.75	 158	 22.63	 8.31E-01	 3.85E-01	 -3.17E-01	 4.2E-02	 5.6E-03	 1.3E-01
1.25	 0.10	 0.80	 165	 23.70	 7.07E-01	 4.21E-01	 -3.05E-01	 5.6E-02	 5.3E-03	 1.3E-01
1.25	 0.10	 1.00	 181	 23.17	 5.86E-01	 4.55E-01	 -1.97E-01	 4.1E-02	 4.3E-03	 7.7E-02
1.25	 0.10	 1.05	 188	 22.90	 5.26E-01	 4.70E-01	 -2.15E-01	 4.8E-02	 4.0E-03	 7.5E-02
1.25	 0.10	 1.10	 191	 23.15	 4.74E-01	 4.80E-01	 -2.26E-01	 5.6E-02	 3.9E-03	 7.6E-02
1.25	 0.10	 1.20	 192	 23.07	 4.72E-01	 4.81E-01	 -2.25E-01	 5.6E-02	 3.9E-03	 7.6E-02
1.25	 0.10	 1.40	 193	 22.98	 4.72E-01	 4.81E-01	 -2.25E-01	 5.6E-02	 3.9E-03	 7.6E-02

1.51	 0.10	 0.15	 27	 1.83	 7.44E-01	 3.98E-01	 -1.67E-01	 6.7E-02	 8.2E-03	 2.2E-01
1.51	 0.10	 0.25	 55	 4.65	 7.20E-01	 3.81E-01	 -1.71E-01	 4.6E-02	 5.8E-03	 1.6E-01
1.51	 0.10	 0.35	 83	 5.63	 7.28E-01	 3.69E-01	 -1.80E-01	 4.0E-02	 5.1E-03	 1.5E-01
1.51	 0.10	 0.40	 85	 5.55	 7.25E-01	 3.70E-01	 -1.78E-01	 4.0E-02	 5.1E-03	 1.4E-01
1.51	 0.10	 0.45	 111	 5.95	 7.14E-01	 3.71E-01	 -1.70E-01	 4.0E-02	 4.9E-03	 1.4E-01
1.51	 0.10	 0.55	 135	 6.51	 6.71E-01	 3.84E-01	 -1.93E-01	 4.4E-02	 4.7E-03	 1.4E-01
1.51	 0.10	 0.60	 139	 6.42	 6.69E-01	 3.87E-01	 -1.75E-01	 4.6E-02	 4.8E-03	 1.4E-01
1.51	 0.10	 0.70	 154	 6.29	 6.96E-01	 3.86E-01	 -1.70E-01	 4.0E-02	 4.7E-03	 1.3E-01
