hermes data proton and deuteron
z < 0.7
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 e0	 e1
1.25	 0.20	 0.25	 28	 1.08	 9.06E-01	 2.60E-01	 3.5E-02	 1.1E-02
1.25	 0.20	 0.35	 56	 7.51	 8.21E-01	 2.83E-01	 2.3E-02	 5.9E-03
1.25	 0.20	 0.40	 57	 7.38	 8.19E-01	 2.84E-01	 2.3E-02	 5.9E-03
1.25	 0.20	 0.45	 84	 16.71	 7.43E-01	 3.32E-01	 2.3E-02	 4.8E-03
1.25	 0.20	 0.55	 102	 15.83	 7.90E-01	 3.32E-01	 2.2E-02	 5.0E-03
1.25	 0.20	 0.60	 112	 25.56	 6.94E-01	 3.99E-01	 2.7E-02	 4.7E-03
1.25	 0.20	 0.70	 116	 24.89	 6.54E-01	 4.03E-01	 2.9E-02	 4.7E-03
1.25	 0.20	 0.75	 133	 25.95	 8.88E-01	 4.08E-01	 3.3E-02	 6.6E-03
1.25	 0.20	 0.80	 140	 26.42	 7.14E-01	 4.55E-01	 3.5E-02	 5.4E-03
1.25	 0.20	 1.00	 156	 24.85	 5.56E-01	 4.89E-01	 2.0E-02	 3.9E-03
1.25	 0.20	 1.05	 163	 24.12	 5.21E-01	 5.01E-01	 2.1E-02	 3.4E-03
1.25	 0.20	 1.10	 166	 24.14	 4.85E-01	 5.10E-01	 2.1E-02	 3.2E-03
1.25	 0.20	 1.20	 167	 24.02	 4.83E-01	 5.11E-01	 2.1E-02	 3.2E-03
1.25	 0.20	 1.40	 168	 23.91	 4.82E-01	 5.11E-01	 2.1E-02	 3.2E-03

1.51	 0.20	 0.25	 28	 1.91	 7.23E-01	 3.52E-01	 2.7E-02	 6.8E-03
1.51	 0.20	 0.35	 56	 2.55	 7.45E-01	 3.36E-01	 2.2E-02	 5.7E-03
1.51	 0.20	 0.40	 58	 2.51	 7.40E-01	 3.37E-01	 2.1E-02	 5.6E-03
1.51	 0.20	 0.45	 84	 4.04	 7.02E-01	 3.49E-01	 2.0E-02	 4.8E-03
1.51	 0.20	 0.55	 108	 6.29	 6.34E-01	 3.83E-01	 2.0E-02	 4.1E-03
1.51	 0.20	 0.60	 112	 6.23	 6.21E-01	 3.87E-01	 2.0E-02	 3.9E-03
1.51	 0.20	 0.70	 127	 6.64	 6.97E-01	 3.85E-01	 1.9E-02	 4.2E-03
1.51	 0.20	 0.75	 137	 7.20	 6.30E-01	 4.13E-01	 2.0E-02	 3.6E-03
1.51	 0.20	 0.80	 140	 7.21	 6.12E-01	 4.17E-01	 2.0E-02	 3.4E-03
1.51	 0.20	 0.95	 149	 6.89	 5.92E-01	 4.21E-01	 1.2E-02	 2.9E-03
1.51	 0.20	 1.00	 164	 6.77	 5.76E-01	 4.32E-01	 1.2E-02	 2.5E-03
1.51	 0.20	 1.05	 167	 6.97	 5.62E-01	 4.36E-01	 1.2E-02	 2.4E-03
1.51	 0.20	 1.25	 168	 6.95	 5.62E-01	 4.36E-01	 1.2E-02	 2.4E-03

1.82	 0.20	 0.25	 28	 3.66	 4.18E-01	 4.13E-01	 3.1E-02	 5.5E-03
1.82	 0.20	 0.35	 56	 2.95	 4.76E-01	 3.98E-01	 2.5E-02	 4.7E-03
1.82	 0.20	 0.40	 66	 2.86	 4.72E-01	 3.97E-01	 2.4E-02	 4.5E-03
1.82	 0.20	 0.45	 84	 2.41	 4.72E-01	 3.97E-01	 2.4E-02	 4.5E-03
1.82	 0.20	 0.55	 112	 2.37	 5.05E-01	 3.92E-01	 2.2E-02	 4.0E-03
1.82	 0.20	 0.70	 137	 3.05	 6.34E-01	 3.78E-01	 1.5E-02	 3.1E-03
1.82	 0.20	 0.75	 140	 3.00	 6.30E-01	 3.79E-01	 1.4E-02	 2.9E-03
1.82	 0.20	 0.90	 141	 3.02	 6.35E-01	 3.78E-01	 1.4E-02	 2.8E-03
1.82	 0.20	 0.95	 162	 2.85	 6.07E-01	 3.83E-01	 7.5E-03	 2.0E-03
1.82	 0.20	 1.00	 168	 3.23	 5.95E-01	 3.88E-01	 7.6E-03	 2.0E-03

2.88	 0.20	 0.25	 28	 2.43	 3.84E-01	 4.34E-01	 3.6E-02	 6.5E-03
2.88	 0.20	 0.30	 34	 2.12	 3.82E-01	 4.34E-01	 3.5E-02	 6.3E-03
2.88	 0.20	 0.35	 56	 1.58	 4.19E-01	 4.25E-01	 2.9E-02	 5.3E-03
2.88	 0.20	 0.40	 82	 1.48	 4.13E-01	 4.25E-01	 2.8E-02	 5.2E-03
2.88	 0.20	 0.45	 84	 1.45	 4.12E-01	 4.25E-01	 2.8E-02	 5.2E-03
2.88	 0.20	 0.55	 112	 2.54	 5.34E-01	 3.93E-01	 2.3E-02	 5.2E-03
2.88	 0.20	 0.70	 140	 3.07	 6.96E-01	 3.54E-01	 1.3E-02	 2.7E-03
2.88	 0.20	 0.90	 144	 3.01	 7.00E-01	 3.53E-01	 1.2E-02	 2.5E-03
2.88	 0.20	 0.95	 168	 3.04	 6.58E-01	 3.60E-01	 7.2E-03	 1.9E-03

5.23	 0.20	 0.25	 28	 0.69	 4.61E-01	 4.28E-01	 4.5E-02	 8.4E-03
5.23	 0.20	 0.30	 38	 0.60	 4.72E-01	 4.25E-01	 4.2E-02	 7.4E-03
5.23	 0.20	 0.35	 56	 0.75	 4.57E-01	 4.24E-01	 3.5E-02	 6.8E-03
5.23	 0.20	 0.40	 81	 1.16	 4.30E-01	 4.27E-01	 3.4E-02	 6.5E-03
5.23	 0.20	 0.45	 84	 1.19	 4.30E-01	 4.26E-01	 3.4E-02	 6.5E-03
5.23	 0.20	 0.55	 112	 2.09	 4.94E-01	 4.12E-01	 2.9E-02	 6.4E-03
5.23	 0.20	 0.70	 140	 2.81	 6.75E-01	 3.66E-01	 1.7E-02	 3.7E-03
5.23	 0.20	 0.90	 145	 2.74	 6.81E-01	 3.64E-01	 1.6E-02	 3.5E-03
5.23	 0.20	 0.95	 166	 2.86	 6.50E-01	 3.69E-01	 1.0E-02	 2.7E-03
5.23	 0.20	 1.00	 168	 2.83	 6.50E-01	 3.69E-01	 1.0E-02	 2.7E-03

9.21	 0.20	 0.25	 26	 0.40	 4.95E-01	 4.17E-01	 9.8E-02	 1.5E-02
9.21	 0.20	 0.30	 36	 0.33	 4.89E-01	 4.15E-01	 8.8E-02	 1.4E-02
9.21	 0.20	 0.35	 54	 0.64	 4.63E-01	 4.08E-01	 7.5E-02	 1.2E-02
9.21	 0.20	 0.40	 75	 0.85	 4.54E-01	 4.07E-01	 7.4E-02	 1.2E-02
9.21	 0.20	 0.45	 82	 0.94	 4.30E-01	 4.09E-01	 7.3E-02	 1.2E-02
9.21	 0.20	 0.55	 110	 1.27	 5.12E-01	 3.98E-01	 5.9E-02	 1.1E-02
9.21	 0.20	 0.70	 138	 1.48	 6.74E-01	 3.66E-01	 3.7E-02	 7.0E-03
9.21	 0.20	 0.85	 139	 1.47	 6.75E-01	 3.65E-01	 3.7E-02	 6.9E-03
9.21	 0.20	 0.90	 146	 1.55	 6.18E-01	 3.67E-01	 2.9E-02	 5.8E-03
9.21	 0.20	 0.95	 162	 1.51	 6.48E-01	 3.65E-01	 2.4E-02	 5.4E-03

