E288	400
s:	750.7600
y:	0.0300
Q:	7.5000

QT/Q	QT	Npt	Chi2	N[0]	p[1]	c[2]	cov00	cov01	cov02	cov10	cov11	cov12	cov20	cov21	cov22
0.25	1.88E+00	9	2.04E-01	1.10E+00	2.07E+00	1.76E-01	1.36E-03	-8.53E-03	1.43E-03	-8.53E-03	5.63E-02	-9.27E-03	1.43E-03	-9.27E-03	1.54E-03
0.50	3.75E+00	19	1.79E+00	1.16E+00	1.79E+00	2.38E-01	5.49E-05	-5.26E-05	2.07E-05	-5.26E-05	7.69E-04	-1.08E-04	2.07E-05	-1.08E-04	2.71E-05
1.00	7.50E+00	24	1.57E+00	1.16E+00	1.81E+00	2.34E-01	5.21E-05	-2.91E-05	1.67E-05	-2.91E-05	5.66E-04	-7.20E-05	1.67E-05	-7.20E-05	2.08E-05
