E772
s:	1505.4400
xF:	0.2000
Q:	8.5000

QT/Q	QT	Npt	Chi2	N[0]	p[1]	c[2]	cov00	cov01	cov02	cov10	cov11	cov12	cov20	cov21	cov22
0.25	2.12E+00	9	1.53E+00	1.47E+00	1.40E+00	3.26E-01	2.54E-03	-6.02E-03	1.92E-03	-6.02E-03	1.65E-02	-4.99E-03	1.92E-03	-4.99E-03	1.62E-03
0.50	4.25E+00	14	1.65E+00	1.36E+00	1.79E+00	2.28E-01	2.98E-04	-5.80E-04	9.90E-05	-5.80E-04	4.56E-03	-5.72E-04	9.90E-05	-5.72E-04	1.14E-04
1.00	8.50E+00	14	1.65E+00	1.36E+00	1.79E+00	2.28E-01	2.98E-04	-5.80E-04	9.90E-05	-5.80E-04	4.56E-03	-5.72E-04	9.90E-05	-5.72E-04	1.14E-04
