E288	300
s:	566.4400
y:	0.2100
Q:	6.5000

QT/Q	QT	Npt	Chi2	N[0]	p[1]	c[2]	cov00	cov01	cov02	cov10	cov11	cov12	cov20	cov21	cov22
0.25	1.62E+00	8	8.69E-01	1.40E+00	1.21E+00	3.88E-01	2.48E-02	-3.70E-02	1.96E-02	-3.70E-02	5.78E-02	-2.98E-02	1.96E-02	-2.98E-02	1.57E-02
0.50	3.25E+00	16	1.07E+00	1.20E+00	1.78E+00	2.07E-01	3.45E-04	-3.71E-04	1.28E-04	-3.71E-04	5.39E-03	-7.29E-04	1.28E-04	-7.29E-04	1.54E-04
1.00	6.50E+00	18	9.42E-01	1.20E+00	1.78E+00	2.06E-01	3.30E-04	-2.56E-04	1.09E-04	-2.56E-04	4.48E-03	-5.76E-04	1.09E-04	-5.76E-04	1.28E-04
