E772
s:	1505.4400
xF:	0.2000
Q:	5.5000

QT/Q	QT	Npt	Chi2	N[0]	p[1]	c[2]	cov00	cov01	cov02	cov10	cov11	cov12	cov20	cov21	cov22
0.25	1.38E+00	6	1.35E+00	1.69E+00	1.25E+00	4.21E-01	2.32E-02	-2.87E-02	1.54E-02	-2.87E-02	3.61E-02	-1.92E-02	1.54E-02	-1.92E-02	1.03E-02
0.50	2.75E+00	11	4.56E+00	1.43E+00	1.78E+00	2.29E-01	3.18E-04	-1.05E-03	2.23E-04	-1.05E-03	5.17E-03	-9.71E-04	2.23E-04	-9.71E-04	2.02E-04
1.00	5.50E+00	12	4.23E+00	1.41E+00	1.85E+00	2.17E-01	1.78E-04	-4.76E-04	1.00E-04	-4.76E-04	2.89E-03	-4.68E-04	1.00E-04	-4.68E-04	9.30E-05
