E288	200
s:	376.3600
y:	0.4000
Q:	4.5000

QT/Q	QT	Npt	Chi2	N[0]	p[1]	c[2]	cov00	cov01	cov02	cov10	cov11	cov12	cov20	cov21	cov22
0.25	1.12E+00	6	6.85E-01	1.19E+00	2.15E+00	9.75E-02	4.47E-02	-2.42E-01	2.95E-02	-2.42E-01	1.34E+00	-1.62E-01	2.95E-02	-1.62E-01	1.97E-02
0.50	2.25E+00	11	1.70E+00	1.28E+00	1.84E+00	1.49E-01	8.48E-04	-2.79E-03	5.20E-04	-2.79E-03	1.96E-02	-2.99E-03	5.20E-04	-2.99E-03	4.91E-04
1.00	4.50E+00	12	1.63E+00	1.29E+00	1.79E+00	1.59E-01	8.23E-04	-2.37E-03	4.88E-04	-2.37E-03	1.55E-02	-2.55E-03	4.88E-04	-2.55E-03	4.56E-04
