E772
s:	1505.4400
xF:	0.2000
Q:	6.5000

QT/Q	QT	Npt	Chi2	N[0]	p[1]	c[2]	cov00	cov01	cov02	cov10	cov11	cov12	cov20	cov21	cov22
0.25	1.62E+00	7	4.28E+00	1.37E+00	1.59E+00	2.61E-01	3.13E-03	-9.23E-03	2.57E-03	-9.23E-03	2.86E-02	-7.81E-03	2.57E-03	-7.81E-03	2.17E-03
0.50	3.25E+00	13	2.84E+00	1.39E+00	1.55E+00	2.75E-01	2.60E-04	-6.24E-04	1.69E-04	-6.24E-04	2.63E-03	-5.96E-04	1.69E-04	-5.96E-04	1.63E-04
1.00	6.50E+00	16	6.49E+00	1.31E+00	1.95E+00	2.01E-01	9.42E-05	-1.87E-05	1.97E-05	-1.87E-05	2.91E-04	-2.30E-05	1.97E-05	-2.30E-05	2.12E-05
