E288	400
s:	750.7600
y:	0.0300
Q:	6.5000

QT/Q	QT	Npt	Chi2	N[0]	p[1]	c[2]	cov00	cov01	cov02	cov10	cov11	cov12	cov20	cov21	cov22
0.25	1.62E+00	8	1.52E+00	1.20E+00	1.81E+00	2.21E-01	3.25E-03	-1.26E-02	2.99E-03	-1.26E-02	5.03E-02	-1.18E-02	2.99E-03	-1.18E-02	2.79E-03
0.50	3.25E+00	16	1.44E+00	1.21E+00	1.75E+00	2.33E-01	5.50E-05	-1.24E-04	3.32E-05	-1.24E-04	1.04E-03	-1.82E-04	3.32E-05	-1.82E-04	3.99E-05
1.00	6.50E+00	23	1.53E+00	1.20E+00	1.80E+00	2.23E-01	4.19E-05	-4.03E-05	1.67E-05	-4.03E-05	5.16E-04	-7.59E-05	1.67E-05	-7.59E-05	1.87E-05
