E288	300
s:	566.4400
y:	0.2100
Q:	8.5000

QT/Q	QT	Npt	Chi2	N[0]	p[1]	c[2]	cov00	cov01	cov02	cov10	cov11	cov12	cov20	cov21	cov22
0.25	2.12E+00	11	1.53E+00	9.73E-01	3.27E+00	5.64E-02	1.85E-03	-3.17E-02	1.39E-03	-3.17E-02	9.07E-01	-3.88E-02	1.39E-03	-3.88E-02	1.68E-03
0.50	4.25E+00	14	1.67E+00	1.04E+00	2.12E+00	1.45E-01	1.03E-03	-1.88E-03	3.13E-04	-1.88E-03	2.78E-02	-3.12E-03	3.13E-04	-3.12E-03	4.37E-04
1.00	8.50E+00	14	1.67E+00	1.04E+00	2.12E+00	1.45E-01	1.03E-03	-1.88E-03	3.13E-04	-1.88E-03	2.78E-02	-3.12E-03	3.13E-04	-3.12E-03	4.37E-04
