E288	200
s:	376.3600
y:	0.4000
Q:	7.5000

QT/Q	QT	Npt	Chi2	N[0]	p[1]	c[2]	cov00	cov01	cov02	cov10	cov11	cov12	cov20	cov21	cov22
0.25	1.88E+00	9	1.62E-01	1.11E+00	1.68E+00	1.78E-01	8.06E-03	-3.47E-02	7.15E-03	-3.47E-02	1.84E-01	-3.59E-02	7.15E-03	-3.59E-02	7.25E-03
0.50	3.75E+00	13	1.43E-01	1.12E+00	1.63E+00	1.88E-01	2.19E-03	-6.34E-03	1.43E-03	-6.34E-03	4.45E-02	-8.08E-03	1.43E-03	-8.08E-03	1.67E-03
1.00	7.50E+00	13	1.43E-01	1.12E+00	1.63E+00	1.88E-01	2.19E-03	-6.34E-03	1.43E-03	-6.34E-03	4.45E-02	-8.08E-03	1.43E-03	-8.08E-03	1.67E-03
