E288	300
s:	566.4400
y:	0.2100
Q:	7.5000

QT/Q	QT	Npt	Chi2	N[0]	p[1]	c[2]	cov00	cov01	cov02	cov10	cov11	cov12	cov20	cov21	cov22
0.25	1.88E+00	9	1.06E+00	1.19E+00	1.65E+00	2.33E-01	1.02E-02	-3.58E-02	9.38E-03	-3.58E-02	1.38E-01	-3.49E-02	9.38E-03	-3.49E-02	9.06E-03
0.50	3.75E+00	15	1.05E+00	1.16E+00	1.80E+00	2.03E-01	6.30E-04	-8.35E-04	2.45E-04	-8.35E-04	9.79E-03	-1.35E-03	2.45E-04	-1.35E-03	2.93E-04
1.00	7.50E+00	17	9.96E-01	1.16E+00	1.79E+00	2.06E-01	6.33E-04	-8.43E-04	2.49E-04	-8.43E-04	9.70E-03	-1.37E-03	2.49E-04	-1.37E-03	3.00E-04
